GO_name,GO_term,GO_definition
glomerular epithelium development,GO:0072010,"The process whose specific outcome is the progression of the glomerular epithelium over time, from its formation to the mature structure. The glomerular epithelium is an epithelial tissue that covers the outer surfaces of the glomerulus. The glomerular epithelium consists of both parietal and visceral epithelium. Metanephric glomerular parietal epithelial cells are specialized epithelial cells that form tight junctions as a barrier to protein transport. A metanephric glomerular visceral epithelial cell is a specialized epithelial cell that contains 'feet' that interdigitate with the 'feet' of other glomerular epithelial cells in the metanephros."
negative regulation of lymphangiogenesis,GO:1901491,"Any process that stops, prevents or reduces the frequency, rate or extent of lymphangiogenesis."
positive regulation of hematopoietic progenitor cell differentiation,GO:1901534,"Any process that activates or increases the frequency, rate or extent of hematopoietic progenitor cell differentiation."
positive regulation of hematopoietic stem cell differentiation,GO:1902038,"Any process that activates or increases the frequency, rate or extent of hematopoietic stem cell differentiation."
negative regulation of apoptotic process involved in outflow tract morphogenesis,GO:1902257,"Any process that stops, prevents or reduces the frequency, rate or extent of apoptotic process involved in outflow tract morphogenesis."
regulation of gene silencing,GO:0060968,"Any process that modulates the rate, frequency, or extent of gene silencing, the transcriptional or post-transcriptional process carried out at the cellular level that results in long-term gene inactivation."
ossification involved in bone remodeling,GO:0043932,"The formation or growth of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone, involved in response to injury or other physical, physiological or environmental stress stimuli."
chondroblast differentiation,GO:0060591,"The process in which a mesenchymal cell, acquires specialized structural and/or functional features of a chondroblast. Differentiation includes the processes involved in commitment of a cell to a chondroblast fate. A chondroblast is a precursor cell to chondrocytes."
regulation of SMAD protein signal transduction,GO:0060390,"Any process that modulates the rate, frequency or extent of SMAD protein signal transduction. Pathway-restricted SMAD proteins and common-partner SMAD proteins are involved in the transforming growth factor beta receptor signaling pathways."
NADPH oxidation,GO:0070995,"A metabolic process that results in the oxidation of reduced nicotinamide adenine dinucleotide, NADPH, to the oxidized form, NADP."
regulation of protein localization to cell surface,GO:2000008,"Any process that modulates the frequency, rate or extent of protein localization to the cell surface."
syncytium formation by plasma membrane fusion,GO:0000768,"The formation of a syncytium, a mass of cytoplasm containing several nuclei enclosed within a single plasma membrane, by the fusion of the plasma membranes of two or more individual cells."
regulation of centriole-centriole cohesion,GO:0030997,Any process that modulates the extent to which the two centrioles within a centrosome remain tightly paired; may be mediated by the assembly and disassembly of a proteinaceous linker.
positive regulation of protein localization to centrosome,GO:1904781,"Any process that activates or increases the frequency, rate or extent of protein localization to centrosome."
cellular macromolecule metabolic process,GO:0044260,"The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, as carried out by individual cells."
random inactivation of X chromosome,GO:0060816,"Compensating for the two-fold variation in X-chromosome:autosome ratios between sexes by a global inactivation of all, or most of, the genes on either the paternal or maternal X-chromosome in the XX sex."
negative regulation of peptidyl-lysine crotonylation,GO:0120094,Any process that stops or reduces the rate of crotonylation of a lysine residue in a protein.
"Notch receptor processing, ligand-dependent",GO:0035333,"The proteolytic cleavages to the Notch protein that occur as a result of ligand binding. Ligand binding at the cell surface exposes an otherwise inaccessible cleavage site in the extracellular portion of Notch, which when cleaved releases a membrane-tethered form of the Notch intracellular domain. Subsequent cleavage within the transmembrane domain then leads to the release of the soluble Notch intracellular domain (NICD)."
amyloid precursor protein metabolic process,GO:0042982,"The chemical reactions and pathways involving amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease."
Notch receptor processing,GO:0007220,"The series of successive proteolytic cleavages of the Notch protein, which result in an active form of the receptor."
negative regulation of core promoter binding,GO:1904797,"Any process that stops, prevents or reduces the frequency, rate or extent of core promoter binding."
positive regulation of L-glutamate import across plasma membrane,GO:0002038,"Any process that activates or increases the frequency, rate or extent of L-glutamate import into a cell."
synaptic vesicle targeting,GO:0016080,"The process in which synaptic vesicles are directed to specific destination membranes, mediated by molecules at the vesicle membrane and target membrane surfaces."
cerebral cortex cell migration,GO:0021795,The orderly movement of cells from one site to another in the cerebral cortex.
Cajal-Retzius cell differentiation,GO:0021870,"The process in which a neuroblast acquires specialized structural and/or functional features of a Cajal-Retzius cell, one of a transient population of pioneering neurons in the cerebral cortex. These cells are slender bipolar cells of the developing marginal zone. One feature of these cells in mammals is that they express the Reelin gene."
segmentation,GO:0035282,"The regionalization process that divides an organism or part of an organism into a series of semi-repetitive parts, or segments, often arranged along a longitudinal axis."
negative regulation of axonogenesis,GO:0050771,"Any process that stops, prevents, or reduces the frequency, rate or extent of axonogenesis."
positive regulation of coagulation,GO:0050820,"Any process that activates or increases the frequency, rate or extent of coagulation."
negative regulation of ubiquitin-protein transferase activity,GO:0051444,"Any process that stops, prevents, or reduces the frequency, rate or extent of ubiquitin transferase activity."
negative regulation of platelet-derived growth factor receptor signaling pathway,GO:0010642,"Any process that stops, prevents, or reduces the frequency, rate or extent of the platelet-derived growth factor receptor signaling pathway."
nucleoside transmembrane transport,GO:1901642,The directed movement of nucleoside across a membrane.
uridine transport,GO:0015862,"The directed movement of uridine, uracil riboside, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
pyrimidine-containing compound transmembrane transport,GO:0072531,The process in which a pyrimidine-containing compound is transported across a membrane. A pyrimidine-containing compound is any compound that contains pyrimidine or a formal derivative thereof.
purine nucleobase transmembrane transport,GO:1904823,The process in which a purine nucleobase is transported across a membrane.
pyrimidine nucleobase transport,GO:0015855,"The directed movement of pyrimidine nucleobases, one of the two classes of nitrogen-containing ring compounds found in DNA and RNA, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
purine nucleoside transmembrane transport,GO:0015860,The process in which a purine nucleoside is transported across a membrane. A purine nucleoside is a purine base covalently bonded to a ribose or deoxyribose sugar.
pyrimidine nucleoside transport,GO:0015864,"The directed movement of a pyrimidine nucleoside, a pyrimidine base covalently bonded to a ribose or deoxyribose sugar, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
negative regulation of protein neddylation,GO:2000435,"Any process that stops, prevents or reduces the frequency, rate or extent of protein neddylation."
"synaptic transmission, GABAergic",GO:0051932,"The vesicular release of  gamma-aminobutyric acid (GABA). from a presynapse, across a chemical synapse, the subsequent activation of GABA receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."
organic substance metabolic process,GO:0071704,"The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."
adenine salvage,GO:0006168,"Any process that generates adenine, 6-aminopurine, from derivatives of it without de novo synthesis."
guanine salvage,GO:0006178,"Any process that generates guanine, 2-amino-6-hydroxypurine, from derivatives of it without de novo synthesis."
IMP salvage,GO:0032264,"Any process which produces inosine monophosphate from derivatives of it, without de novo synthesis."
adenine metabolic process,GO:0046083,"The chemical reactions and pathways involving adenine, 6-aminopurine, one of the five main bases found in nucleic acids and a component of numerous important derivatives of its corresponding ribonucleoside, adenosine."
hypoxanthine metabolic process,GO:0046100,"The chemical reactions and pathways involving hypoxanthine, 6-hydroxy purine, an intermediate in the degradation of adenylate. Its ribonucleoside is known as inosine and its ribonucleotide as inosinate."
GMP salvage,GO:0032263,"Any process which produces guanosine monophosphate from derivatives of it, without de novo synthesis."
GMP catabolic process,GO:0046038,"The chemical reactions and pathways resulting in the breakdown of GMP, guanosine monophosphate."
IMP metabolic process,GO:0046040,"The chemical reactions and pathways involving IMP, inosine monophosphate."
negative regulation of male germ cell proliferation,GO:2000255,"Any process that stops, prevents or reduces the frequency, rate or extent of male germ cell proliferation."
negative regulation of protein K48-linked ubiquitination,GO:0061944,"Any process that stops, prevents or reduces the frequency, rate or extent of K48-linked ubiquitination, a protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is added to a protein. K48-linked ubiquitination targets the substrate protein for degradation."
RNA 5'-cap (guanine-N7)-methylation,GO:0106005,The process whereby a guanine in 5-cap is methylated at the N7 position of guanine.
L-serine biosynthetic process,GO:0006564,"The chemical reactions and pathways resulting in the formation of L-serine, the L-enantiomer of serine, i.e. (2S)-2-amino-3-hydroxypropanoic acid."
pyridoxine biosynthetic process,GO:0008615,"The chemical reactions and pathways resulting in the formation of pyridoxine, 2-methyl-3-hydroxy-4,5-bis(hydroxymethyl)pyridine, one of the vitamin B6 compounds."
regulation of immunoglobulin production,GO:0002637,"Any process that modulates the frequency, rate, or extent of immunoglobulin production."
glutathione transport,GO:0034635,"The directed movement of glutathione, the tripeptide glutamylcysteinylglycine, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
cellular response to lipid hydroperoxide,GO:0071449,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid hydroperoxide stimulus. Lipid hydroperoxide is the highly reactive primary oxygenated products of polyunsaturated fatty acids."
establishment of body hair planar orientation,GO:0048105,"Orientation of body hairs, projections from the surface of an organism, such that the hairs all point in a uniform direction along the surface."
orthogonal dichotomous subdivision of terminal units involved in lung branching morphogenesis,GO:0060488,The process in which a lung bud bifurcates perpendicular to the plane of the previous bud.
planar dichotomous subdivision of terminal units involved in lung branching morphogenesis,GO:0060489,The process in which a lung bud bifurcates parallel to the plane of the previous bud.
lateral sprouting involved in lung morphogenesis,GO:0060490,The process in which a branch forms along the side of the lung epithelial tube.
protein localization involved in establishment of planar polarity,GO:0090251,"Any process in which a protein is transported to, and/or maintained in, a specific location in a cell that contributes to the establishment of planar polarity."
plasma lipoprotein particle clearance,GO:0034381,The process in which a lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded.
cellular localization,GO:0051641,"A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."
early endosome to recycling endosome transport,GO:0061502,"The directed movement of substances, in membrane-bounded vesicles, from the early sorting endosomes to the recycling endosomes."
initiation of primordial ovarian follicle growth,GO:0001544,Increase in size of primordial follicles including proliferation and shape changes of granulosa and/or theca cells until oocyte is surrounded by one layer of cuboidal shaped granulosa cells (primary follicle).
antral ovarian follicle growth,GO:0001547,Increase in size of antral follicles due to cell proliferation and/or growth of the antral cavity.
bombesin receptor signaling pathway,GO:0031989,The series of molecular signals generated as a consequence of a bombesin receptor binding to one of its physiological ligands.
negative regulation of transcription by transcription factor localization,GO:0010621,"Any process that stops, prevents, or reduces the frequency, rate or extent of DNA-dependent transcription using a mechanism that involves the localization of a transcription factor."
regulation of leukocyte proliferation,GO:0070663,"Any process that modulates the frequency, rate or extent of leukocyte proliferation."
DNA conformation change,GO:0071103,"A cellular process that results in a change in the spatial configuration of a DNA molecule. A conformation change can bend DNA, or alter the, twist, writhe, or linking number of a DNA molecule."
D-gluconate catabolic process,GO:0046177,"The chemical reactions and pathways resulting in the breakdown of D-gluconate, the anion of D-gluconic acid, the aldonic acid derived from glucose."
import across plasma membrane,GO:0098739,"The directed movement of some substance from outside of a cell, across the plasma membrane and into the cytosol."
cAMP catabolic process,GO:0006198,"The chemical reactions and pathways resulting in the breakdown of the nucleotide cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate)."
response to odorant,GO:1990834,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an odorant stimulus. An odorant is any substance capable of stimulating the sense of smell."
establishment of neuroblast polarity,GO:0045200,"The specification and formation of the apicobasal polarity of a neuroblast cell, a progenitor of the central nervous system."
protection of DNA demethylation of female pronucleus,GO:0044726,The protection of the maternal genome from DNA demethylation in the zygote following fertilization.
peptidyl-arginine ADP-ribosylation,GO:0018120,"The transfer, from NAD, of ADP-ribose to peptidyl-arginine to form omega-N-(ADP-ribosyl)-L-arginine."
fatty acid catabolic process,GO:0009062,"The chemical reactions and pathways resulting in the breakdown of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
regulation of actin filament depolymerization,GO:0030834,"Any process that modulates the frequency, rate or extent of the disassembly of actin filaments by the removal of actin monomers from a filament."
regulation of blood vessel endothelial cell migration,GO:0043535,"Any process that modulates the frequency, rate or extent of the migration of the endothelial cells of blood vessels."
positive regulation of glucocorticoid receptor signaling pathway,GO:2000324,"Any process that activates or increases the frequency, rate or extent of glucocorticoid receptor signaling pathway."
determination of pancreatic left/right asymmetry,GO:0035469,Determination of the asymmetric location of the pancreas with respect to the left and right halves of the organism.
determination of digestive tract left/right asymmetry,GO:0071907,Determination of the asymmetric location of various parts of the digestive tract with respect to the left and right halves of the organism. The digestive tract is the anatomical structure through which food passes and is processed.
determination of liver left/right asymmetry,GO:0071910,Determination of the asymmetric location of the liver with respect to the left and right halves of the organism.
endoplasmic reticulum tubular network organization,GO:0071786,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the endoplasmic reticulum (ER) tubular network. The ER tubular network is the ER part that that has membranes with high curvature in cross-section."
negative regulation of heart rate,GO:0010459,"Any process that stops, prevents or reduces the frequency or rate of heart contraction."
response to catecholamine,GO:0071869,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a catecholamine stimulus. A catecholamine is any of a group of biogenic amines that includes 4-(2-aminoethyl)pyrocatechol [4-(2-aminoethyl)benzene-1,2-diol] and derivatives formed by substitution."
response to epinephrine,GO:0071871,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epinephrine stimulus. Epinephrine is a catecholamine that has the formula C9H13NO3; it is secreted by the adrenal medulla to act as a hormone, and released by certain neurons to act as a neurotransmitter active in the central nervous system."
extraocular skeletal muscle development,GO:0002074,"The process whose specific outcome is the progression of the extraocular skeletal muscle over time, from its formation to the mature structure. The extraocular muscle is derived from cranial mesoderm and controls eye movements. The muscle begins its development with the differentiation of the muscle cells and ends with the mature muscle. An example of this process is found in Mus musculus."
nucleolar large rRNA transcription by RNA polymerase I,GO:0042790,"The synthesis of the large ribosomal RNA (rRNA) transcript which encodes several rRNAs, e.g. in mammals 28S, 18S and 5.8S, from a nuclear DNA template transcribed by RNA polymerase I."
transcription elongation from RNA polymerase I promoter,GO:0006362,The extension of an RNA molecule after transcription initiation and promoter clearance at an RNA polymerase I specific promoter by the addition of ribonucleotides catalyzed by RNA polymerase I.
ncRNA processing,GO:0034470,Any process that results in the conversion of one or more primary non-coding RNA (ncRNA) transcripts into one or more mature ncRNA molecules.
rRNA modification,GO:0000154,The covalent alteration of one or more nucleotides within an rRNA molecule to produce an rRNA molecule with a sequence that differs from that coded genetically.
tRNA acetylation,GO:0051391,"The modification of tRNA structure by addition of an acetyl group to tRNA. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid."
rRNA acetylation involved in maturation of SSU-rRNA,GO:1904812,Any rRNA acetylation that is involved in maturation of SSU-rRNA.
[2Fe-2S] cluster assembly,GO:0044571,The incorporation of two iron atoms and two sulfur atoms into an iron-sulfur cluster.
maintenance of epithelial cell apical/basal polarity,GO:0045199,The maintenance of the apicobasal polarity of an epithelial cell.
viral budding,GO:0046755,"A viral process by which enveloped viruses acquire a host-derived membrane enriched in viral proteins to form their external envelope. The process starts when nucleocapsids, assembled or in the process of being built, induce formation of a membrane curvature in the host plasma or organelle membrane and wrap up in the forming bud. The process ends when the bud is eventually pinched off by membrane scission to release the enveloped particle into the lumenal or extracellular space."
regulation of membrane permeability,GO:0090559,"Any process that modulates the frequency, rate or extent of the passage or uptake of molecules by a membrane."
regulation of extracellular exosome assembly,GO:1903551,"Any process that modulates the frequency, rate or extent of extracellular vesicular exosome assembly."
negative regulation of protein export from nucleus,GO:0046826,"Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of proteins from the nucleus into the cytoplasm."
cellular response to vasopressin,GO:1904117,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a vasopressin stimulus."
regulation of triglyceride biosynthetic process,GO:0010866,"Any process that modulates the rate, frequency, or extent of triglyceride biosynthesis. Triglyceride biosynthesis is the collection of chemical reactions and pathways resulting in the formation of triglyceride, any triester of glycerol."
enzyme-directed rRNA pseudouridine synthesis,GO:0000455,The intramolecular conversion of uridine to pseudouridine during ribosome biogenesis where the enzyme specifies the site that becomes pseudouridylated without using a guide RNA.
negative regulation of skeletal muscle tissue growth,GO:0048632,"Any process that stops, prevents, or reduces the frequency, rate or extent of skeletal muscle growth."
interleukin-23-mediated signaling pathway,GO:0038155,"A series of molecular signals initiated by the binding of interleukin-23 to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription."
mammalian oogenesis stage,GO:0022605,A reproductive process that is a step in the formation and maturation of an ovum or female gamete from a primordial female germ cell.
sexual reproduction,GO:0019953,"A reproduction process that creates a new organism by combining the genetic material of two gametes, which may come from two organisms or from a single organism, in the case of self-fertilizing hermaphrodites, e.g. C. elegans, or self-fertilization in plants. It occurs both in eukaryotes and prokaryotes: in multicellular eukaryotic organisms, an individual is created anew; in prokaryotes, the initial cell has additional or transformed genetic material. In a process called genetic recombination, genetic material (DNA) originating from two gametes join up so that homologous sequences are aligned with each other, and this is followed by exchange of genetic information. After the new recombinant chromosome is formed, it is passed on to progeny."
lipopolysaccharide metabolic process,GO:0008653,"The chemical reactions and pathways involving lipopolysaccharides, any of a group of related, structurally complex components of the outer membrane of Gram-negative bacteria. Lipopolysaccharides consist three covalently linked regions, lipid A, core oligosaccharide, and an O side chain. Lipid A is responsible for the toxicity of the lipopolysaccharide."
lipopolysaccharide catabolic process,GO:0009104,"The chemical reactions and pathways resulting in the breakdown of lipopolysaccharides, any of a group of related, structurally complex components of the outer membrane of Gram-negative bacteria."
protein import,GO:0017038,The targeting and directed movement of proteins into a cell or organelle.  Not all import involves an initial targeting event.
regulation of amyloid-beta clearance,GO:1900221,"Any process that modulates the frequency, rate or extent of amyloid-beta clearance."
immune complex clearance,GO:0002434,"A process directed at removing immune complexes from the body. Immune complexes are clusters of antibodies bound to antigen, to which complement may also be fixed, and which may precipitate or remain in solution."
central nervous system myelin maintenance,GO:0032286,The process in which the structure and material content of mature central nervous system myelin is kept in a functional state.
microglial cell proliferation,GO:0061518,The expansion of a microglial cell population by cell division.
protein targeting to lysosome involved in chaperone-mediated autophagy,GO:0061740,The targeting of a protein to the lysosome process in which an input protein binds to a chaperone and subsequently to a lysosomal receptor.
chaperone-mediated protein transport involved in chaperone-mediated autophagy,GO:0061741,The chaperone-mediated protein transport process in which a protein that is bound to a chaperone and a lysosomal receptor is unfolded and transported into the lysosome as part of chaperone-mediated autophagy.
regulation of neuronal signal transduction,GO:1902847,"Any process that modulates the frequency, rate or extent of neuronal signal transduction."
positive regulation of neurofibrillary tangle assembly,GO:1902998,"Any process that activates or increases the frequency, rate or extent of neurofibrillary tangle assembly."
negative regulation of cellular response to thapsigargin,GO:1905892,"Any process that stops, prevents or reduces the frequency, rate or extent of cellular response to thapsigargin."
negative regulation of cellular response to tunicamycin,GO:1905895,"Any process that stops, prevents or reduces the frequency, rate or extent of cellular response to tunicamycin."
detection of virus,GO:0009597,The series of events in which a stimulus from a virus is received and converted into a molecular signal.
vascular associated smooth muscle contraction,GO:0014829,"A process, occurring in the vascular tissue, whereby actin/myosin complex activity generates force through ATP hydrolysis resulting in a change in smooth muscle geometry. This process is always coupled to chemo-mechanical energy conversion."
mesenchyme migration,GO:0090131,The process in which the population of cells that make up a mesenchyme undergo directed movement.
glomerular mesangial cell development,GO:0072144,"The process whose specific outcome is the progression of a glomerular mesangial cell in the kidney over time, from its formation to the mature structure."
norepinephrine metabolic process,GO:0042415,"The chemical reactions and pathways involving norepinephrine, a hormone secreted by the adrenal medulla, and a neurotransmitter in the sympathetic peripheral nervous system and in some tracts in the central nervous system. It is also the demethylated biosynthetic precursor of epinephrine."
chondroitin sulfate catabolic process,GO:0030207,"The chemical reactions and pathways resulting in the breakdown of chondroitin sulfate, any member of a group of 10-60 kDa glycosaminoglycans, widely distributed in cartilage and other mammalian connective tissues, the repeat units of which consist of beta-(1,4)-linked D-glucuronyl beta-(1,3)-N-acetyl-D-galactosamine sulfate."
response to food,GO:0032094,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a food stimulus; food is anything which, when taken into the body, serves to nourish or build up the tissues or to supply body heat."
urea homeostasis,GO:0097274,Any biological process involved in the maintenance of an internal steady state of urea.
cellular response to aldosterone,GO:1904045,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an aldosterone stimulus."
low-density lipoprotein particle receptor catabolic process,GO:0032802,"The chemical reactions and pathways resulting in the breakdown of a low-density lipoprotein particle receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."
negative regulation of low-density lipoprotein particle clearance,GO:0010989,"Any process that decreases the rate, frequency or extent of low-density lipoprotein particle clearance. Low-density lipoprotein particle clearance is the process in which a low-density lipoprotein particle is removed from the blood via receptor-mediated endocytosis and its constituent parts degraded."
regulation of low-density lipoprotein particle receptor catabolic process,GO:0032803,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of low-density lipoprotein particle receptors."
negative regulation of neuroblast proliferation,GO:0007406,"Any process that stops, prevents, or reduces the frequency, rate or extent of the proliferation of neuroblasts."
Schwann cell development,GO:0014044,"The process aimed at the progression of a Schwann cell over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. Schwann cells are found in the peripheral nervous system, where they insulate neurons and axons, and regulate the environment in which neurons function."
forebrain astrocyte development,GO:0021897,"The process aimed at the progression of an astrocyte that resides in the forebrain, from initial commitment of the cell to its fate, to the fully functional differentiated cell. An astrocyte is the most abundant type of glial cell. Astrocytes provide support for neurons and regulate the environment in which they function."
regulation of glial cell differentiation,GO:0045685,"Any process that modulates the frequency, rate or extent of glia cell differentiation."
forebrain morphogenesis,GO:0048853,"The process in which the anatomical structures of the forebrain are generated and organized. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions)."
histone H3-K4 methylation,GO:0051568,The modification of histone H3 by addition of one or more methyl groups to lysine at position 4 of the histone.
negative regulation of stress granule assembly,GO:0062030,"Any process that stops or decreases the rate, frequency or extent of stress-granule assembly, the aggregation, arrangement and bonding together of proteins and RNA molecules to form a stress granule."
positive regulation of mitochondrial membrane potential,GO:0010918,"Any process that activates or increases the frequency, rate or extent of establishment or extent of a mitochondrial membrane potential, the electric potential existing across any mitochondrial membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane."
positive regulation of autophagy in response to ER overload,GO:0034263,The process in which the accumulation of misfolded proteins in the endoplasmic reticulum triggers a response that positively regulates autophagy.
regulation of mitochondrial membrane permeability involved in apoptotic process,GO:1902108,Any regulation of mitochondrial membrane permeability that is involved in apoptotic process.
positive regulation of fibroblast apoptotic process,GO:2000271,"Any process that activates or increases the frequency, rate or extent of fibroblast apoptotic process."
epoxygenase P450 pathway,GO:0019373,The chemical reactions and pathways by which arachidonic acid is converted to other compounds including epoxyeicosatrienoic acids and dihydroxyeicosatrienoic acids.
omega-hydroxylase P450 pathway,GO:0097267,The chemical reactions and pathways by which arachidonic acid is converted to other compounds initially by omega-hydroxylation.
regulation of cardiac muscle tissue development,GO:0055024,"Any process that modulates the frequency, rate or extent of cardiac muscle tissue development."
positive regulation of ryanodine-sensitive calcium-release channel activity,GO:0060316,Any process that increases the activity of a ryanodine-sensitive calcium-release channel. The ryanodine-sensitive calcium-release channel catalyzes the transmembrane transfer of a calcium ion by a channel that opens when a ryanodine class ligand has been bound by the channel complex or one of its constituent parts.
nucleoside triphosphate catabolic process,GO:0009143,"The chemical reactions and pathways resulting in the breakdown of a nucleoside triphosphate, a compound consisting of a nucleobase linked to a deoxyribose or ribose sugar esterified with triphosphate on the sugar."
pre-miRNA processing,GO:0031054,Any process involved in the conversion of a pre-microRNA transcript into a mature microRNA molecule.
"negative regulation of transposition, RNA-mediated",GO:0010526,"Any process that decreases the frequency, rate or extent of RNA-mediated transposition. RNA-mediated transposition is a type of transpositional recombination which occurs via an RNA intermediate."
RNA 3' uridylation,GO:0071076,The enzymatic addition of a sequence of uridylyl residues at the 3' end of an RNA molecule.
polyuridylation-dependent mRNA catabolic process,GO:1990074,"The chemical reactions and pathways resulting in the breakdown of a messenger RNA (mRNA) molecule, initiated by the enzymatic addition of a sequence of uridylyl residues (polyuridylation) at the 3' end of the target mRNA."
regulation of wound healing,GO:0061041,"Any process that modulates the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."
positive regulation of epithelial cell proliferation involved in lung morphogenesis,GO:0060501,Any process that increases the rate or frequency of epithelial cell proliferation that results in the lung attaining its shape.
regulation of keratinocyte proliferation,GO:0010837,"Any process that modulates the rate, frequency or extent of keratinocyte proliferation. Keratinocyte proliferation is the multiplication or reproduction of keratinocytes, resulting in the expansion of a cell population."
negative regulation of keratinocyte differentiation,GO:0045617,"Any process that stops, prevents, or reduces the frequency, rate or extent of keratinocyte differentiation."
regulation of JUN kinase activity,GO:0043506,"Any process that modulates the frequency, rate or extent of JUN kinase activity."
negative regulation of glucose import,GO:0046325,"Any process that stops, prevents, or reduces the frequency, rate or extent of the import of the hexose monosaccharide glucose into a cell or organelle."
positive regulation of vascular endothelial growth factor receptor signaling pathway,GO:0030949,"Any process that activates or increases the frequency, rate or extent of vascular endothelial growth factor receptor signaling pathway activity."
negative regulation of glycogen biosynthetic process,GO:0045719,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of glycogen."
peptidyl-cysteine methylation,GO:0018125,The methylation of peptidyl-cysteine to form peptidyl-S-methyl-L-cysteine.
positive regulation of regulated secretory pathway,GO:1903307,"Any process that activates or increases the frequency, rate or extent of regulated secretory pathway."
negative regulation of metalloendopeptidase activity,GO:1904684,"Any process that stops, prevents or reduces the frequency, rate or extent of metalloendopeptidase activity."
positive regulation of TRAIL-activated apoptotic signaling pathway,GO:1903984,"Any process that activates or increases the frequency, rate or extent of TRAIL-activated apoptotic signaling pathway."
protein oxidation,GO:0018158,The modification of a protein amino acid by oxidation.
protein glycosylation in Golgi,GO:0033578,The addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid in any compartment of the Golgi apparatus.
N-glycan fucosylation,GO:0036071,The process of transferring a fucosyl group to an N-glycan. An N-glycan is the carbohydrate portion of an N-glycoprotein when attached to a nitrogen from asparagine or arginine side-chains.
GDP-L-fucose metabolic process,GO:0046368,"The chemical reactions and pathways involving GDP-L-fucose, a substance composed of L-fucose in glycosidic linkage with guanosine diphosphate."
receptor metabolic process,GO:0043112,"The chemical reactions and pathways involving a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function."
glutamate secretion,GO:0014047,The controlled release of glutamate by a cell. The glutamate is the most abundant excitatory neurotransmitter in the nervous system.
acetoacetic acid metabolic process,GO:0043438,"The chemical reactions and pathways involving acetoacetic acid, 3-oxobutanoic acid; the empirical formula is C4H6O3 or CH3COCH2COOH."
positive regulation of melanin biosynthetic process,GO:0048023,Any process that activates or increases the rate or extent of the chemical reactions and pathways resulting in the formation of melanin.
