electron transport chain,GO:0022900
cyclic nucleotide biosynthetic process,GO:0009190
cAMP biosynthetic process,GO:0006171
T-helper 1 type immune response,GO:0042088
leptin-mediated signaling pathway,GO:0033210
positive regulation of alpha-beta T cell proliferation,GO:0046641
cellular response to interferon-beta,GO:0035458
calcium-dependent activation of synaptic vesicle fusion,GO:0099502
organelle assembly,GO:0070925
drug transmembrane transport,GO:0006855
positive regulation of phospholipid transport,GO:2001140
drug export,GO:0046618
surfactant homeostasis,GO:0043129
regulation of lipid transport,GO:0032368
regulation of translational termination,GO:0006449
telomere organization,GO:0032200
Toll signaling pathway,GO:0008063
endoplasmic reticulum-plasma membrane tethering,GO:0061817
endoplasmic reticulum membrane organization,GO:0090158
modulation by host of viral RNA genome replication,GO:0044830
N-terminal protein amino acid acetylation,GO:0006474
N-terminal peptidyl-methionine acetylation,GO:0017196
negative regulation of protein sumoylation,GO:0033234
substrate-dependent cell migration_ cell extension,GO:0006930
nerve development,GO:0021675
retinal ganglion cell axon guidance,GO:0031290
neuropilin signaling pathway,GO:0038189
axon extension involved in axon guidance,GO:0048846
axonogenesis involved in innervation,GO:0060385
angiogenesis involved in coronary vascular morphogenesis,GO:0060978
retina vasculature morphogenesis in camera-type eye,GO:0061299
regulation of retinal ganglion cell axon guidance,GO:0090259
sympathetic neuron projection extension,GO:0097490
sympathetic neuron projection guidance,GO:0097491
basal dendrite arborization,GO:0150020
neural crest cell migration involved in autonomic nervous system development,GO:1901166
semaphorin-plexin signaling pathway involved in neuron projection guidance,GO:1902285
facial nerve structural organization,GO:0021612
trigeminal nerve structural organization,GO:0021637
branchiomotor neuron axon guidance,GO:0021785
gonadotrophin-releasing hormone neuronal migration to the hypothalamus,GO:0021828
negative regulation of axon extension,GO:0030517
ventral trunk neural crest cell migration,GO:0036486
regulation of axon extension involved in axon guidance,GO:0048841
dichotomous subdivision of terminal units involved in salivary gland branching,GO:0060666
coronary artery morphogenesis,GO:0060982
trigeminal ganglion development,GO:0061551
sensory neuron axon guidance,GO:0097374
semaphorin-plexin signaling pathway involved in axon guidance,GO:1902287
facioacoustic ganglion development,GO:1903375
negative regulation of extrinsic apoptotic signaling pathway,GO:2001237
receptor clustering,GO:0043113
amyloid-beta clearance,GO:0097242
positive regulation of neutrophil degranulation,GO:0043315
negative regulation of dopamine metabolic process,GO:0045963
neutrophil migration,GO:1990266
positive regulation of prostaglandin-E synthase activity,GO:2000363
negative regulation of vascular permeability,GO:0043116
regulation of cell morphogenesis,GO:0022604
integrin activation,GO:0033622
cell junction assembly,GO:0034329
positive regulation of integrin activation,GO:0033625
protein localization to cell junction,GO:1902414
positive regulation of wound healing_ spreading of epidermal cells,GO:1903691
hair follicle maturation,GO:0048820
regulation of ryanodine-sensitive calcium-release channel activity,GO:0060314
positive regulation of extracellular matrix assembly,GO:1901203
negative regulation of mitotic cell cycle phase transition,GO:1901991
regulation of interferon-gamma production,GO:0032649
positive regulation of necroptotic process,GO:0060545
negative regulation of programmed necrotic cell death,GO:0062099
programmed necrotic cell death,GO:0097300
regulation of entry of bacterium into host cell,GO:2000535
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,GO:0000972
positive regulation of synapse maturation,GO:0090129
antiviral innate immune response,GO:0140374
self proteolysis,GO:0097264
negative regulation of DNA methylation-dependent heterochromatin assembly,GO:0090310
calcineurin-NFAT signaling cascade,GO:0033173
brain-derived neurotrophic factor receptor signaling pathway,GO:0031547
regulation of double-strand break repair via homologous recombination,GO:0010569
positive regulation of transcription factor catabolic process,GO:1901485
positive regulation of chondrocyte proliferation,GO:1902732
positive regulation blood vessel branching,GO:1905555
T-helper 17 cell lineage commitment,GO:0072540
positive regulation of inclusion body assembly,GO:0090261
natural killer cell activation involved in immune response,GO:0002323
response to exogenous dsRNA,GO:0043330
negative regulation of T cell differentiation,GO:0045581
negative regulation of T-helper 2 cell cytokine production,GO:2000552
Rap protein signal transduction,GO:0032486
male mating behavior,GO:0060179
endoplasmic reticulum calcium ion homeostasis,GO:0032469
response to pH,GO:0009268
response to ozone,GO:0010193
response to inactivity,GO:0014854
hemoglobin metabolic process,GO:0020027
response to L-ascorbic acid,GO:0033591
UV protection,GO:0009650
anterograde synaptic vesicle transport,GO:0048490
endosome to melanosome transport,GO:0035646
positive regulation of epithelial cell migration,GO:0010634
negative regulation of actin filament bundle assembly,GO:0032232
positive regulation of actin filament bundle assembly,GO:0032233
regulation of potassium ion transport,GO:0043266
negative regulation of cytosolic calcium ion concentration,GO:0051481
membrane hyperpolarization,GO:0060081
dendritic spine development,GO:0060996
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator,GO:1902254
positive regulation of cellular protein catabolic process,GO:1903364
RNA localization,GO:0006403
regulation of actin cytoskeleton reorganization,GO:2000249
DNA metabolic process,GO:0006259
meiotic DNA double-strand break formation,GO:0042138
protein localization to chromosome,GO:0034502
meiotic telomere clustering,GO:0045141
gap junction-mediated intercellular transport,GO:1990349
cell communication by electrical coupling,GO:0010644
gap junction assembly,GO:0016264
response to human chorionic gonadotropin,GO:0044752
epididymis development,GO:1905867
sinoatrial node development,GO:0003163
ear morphogenesis,GO:0042471
positive regulation of keratinocyte apoptotic process,GO:1902174
positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage,GO:1902231
L-methionine salvage from methylthioadenosine,GO:0019509
positive regulation of transcription by RNA polymerase III,GO:0045945
positive regulation of snRNA transcription by RNA polymerase II,GO:1905382
negative regulation of dendrite morphogenesis,GO:0050774
glucocorticoid receptor signaling pathway,GO:0042921
peptidyl-amino acid modification,GO:0018193
regulation of smooth muscle cell apoptotic process,GO:0034391
positive regulation of smooth muscle cell apoptotic process,GO:0034393
ERBB2 signaling pathway,GO:0038128
protein quality control for misfolded or incompletely synthesized proteins,GO:0006515
positive regulation of proteolysis,GO:0045862
chaperone-mediated autophagy,GO:0061684
mesodermal to mesenchymal transition involved in gastrulation,GO:0060809
maintenance of presynaptic active zone structure,GO:0048790
I-kappaB phosphorylation,GO:0007252
outflow tract morphogenesis,GO:0003151
embryonic heart tube development,GO:0035050
blood vessel endothelial cell migration,GO:0043534
lymphatic endothelial cell differentiation,GO:0060836
endocardium formation,GO:0060214
regulation of stem cell proliferation,GO:0072091
histone phosphorylation,GO:0016572
response to amine,GO:0014075
chromosome condensation,GO:0030261
positive regulation of DNA replication,GO:0045740
ventricular cardiac muscle cell development,GO:0055015
positive regulation of cardiac muscle cell proliferation,GO:0060045
Golgi disassembly,GO:0090166
positive regulation of mitochondrial ATP synthesis coupled electron transport,GO:1905448
growth hormone receptor signaling pathway via JAK-STAT,GO:0060397
aminophospholipid translocation,GO:0140331
positive regulation of protein exit from endoplasmic reticulum,GO:0070863
aminophospholipid transport,GO:0015917
amino acid transmembrane transport,GO:0003333
alanine transport,GO:0032328
mRNA 5'-splice site recognition,GO:0000395
nuclear transport,GO:0051169
hematopoietic stem cell homeostasis,GO:0061484
mRNA metabolic process,GO:0016071
regulation of neurotrophin TRK receptor signaling pathway,GO:0051386
negative regulation of calcium ion binding,GO:1901877
negative regulation of ATPase-coupled calcium transmembrane transporter activity,GO:1901895
positive regulation of kidney development,GO:0090184
retinal rod cell differentiation,GO:0060221
renal vesicle induction,GO:0072034
metanephric nephron tubule formation,GO:0072289
regulation of hormone levels,GO:0010817
negative regulation of photoreceptor cell differentiation,GO:0046533
astrocyte fate commitment,GO:0060018
peptidyl-lysine methylation,GO:0018022
actin filament reorganization,GO:0090527
glycoprotein biosynthetic process,GO:0009101
ganglioside biosynthetic process via lactosylceramide,GO:0010706
keratan sulfate biosynthetic process,GO:0018146
central nervous system neuron axonogenesis,GO:0021955
poly-N-acetyllactosamine biosynthetic process,GO:0030311
small-subunit processome assembly,GO:0034462
positive regulation of phospholipase activity,GO:0010518
positive regulation of centriole elongation,GO:1903724
positive regulation of vascular permeability,GO:0043117
negative regulation of adherens junction organization,GO:1903392
endochondral ossification,GO:0001958
male genitalia development,GO:0030539
positive regulation of chondrocyte differentiation,GO:0032332
multicellular organismal iron ion homeostasis,GO:0060586
somatostatin signaling pathway,GO:0038170
G1 to G0 transition involved in cell differentiation,GO:0070315
neural precursor cell proliferation,GO:0061351
cellular response to forskolin,GO:1904322
regulation of B cell proliferation,GO:0030888
thyroid gland development,GO:0030878
metanephric mesenchyme development,GO:0072075
organ induction,GO:0001759
regulation of synaptic growth at neuromuscular junction,GO:0008582
facial nerve morphogenesis,GO:0021610
olfactory placode formation,GO:0030910
middle ear morphogenesis,GO:0042474
skeletal system morphogenesis,GO:0048705
skeletal muscle fiber development,GO:0048741
myotome development,GO:0061055
ureter smooth muscle cell differentiation,GO:0072193
positive regulation of secondary heart field cardioblast proliferation,GO:0072513
regulation of T cell proliferation,GO:0042129
cortical cytoskeleton organization,GO:0030865
engulfment of apoptotic cell,GO:0043652
regulation of hydrogen peroxide metabolic process,GO:0010310
regulation of cell-substrate adhesion,GO:0010810
regulation of respiratory burst,GO:0060263
regulation of neutrophil migration,GO:1902622
glycine biosynthetic process,GO:0006545
positive regulation of type I interferon-mediated signaling pathway,GO:0060340
negative regulation of JUN kinase activity,GO:0043508
membrane protein proteolysis,GO:0033619
regulation of protein autophosphorylation,GO:0031952
kinetochore assembly,GO:0051382
recombinational repair,GO:0000725
positive regulation of G0 to G1 transition,GO:0070318
UMP salvage,GO:0044206
CTP salvage,GO:0044211
pyrimidine nucleoside salvage,GO:0043097
positive regulation of blood pressure,GO:0045777
vesicle-mediated transport in synapse,GO:0099003
anterograde neuronal dense core vesicle transport,GO:1990048
retrograde neuronal dense core vesicle transport,GO:1990049
5-methylcytosine catabolic process,GO:0006211
inner cell mass cell differentiation,GO:0001826
positive regulation of tau-protein kinase activity,GO:1902949
negative regulation of ossification,GO:0030279
negative regulation of mesodermal cell fate specification,GO:0042662
positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway,GO:0090082
synapse pruning,GO:0098883
positive regulation of Wnt signaling pathway_ planar cell polarity pathway,GO:2000096
platelet-derived growth factor receptor-beta signaling pathway,GO:0035791
apoptotic nuclear changes,GO:0030262
positive regulation of cell motility,GO:2000147
positive regulation of DNA-templated transcription_ initiation,GO:2000144
cranial suture morphogenesis,GO:0060363
mitral valve morphogenesis,GO:0003183
cardiac neural crest cell migration involved in outflow tract morphogenesis,GO:0003253
negative regulation of histone phosphorylation,GO:0033128
negative regulation of histone acetylation,GO:0035067
hindlimb morphogenesis,GO:0035137
outer ear morphogenesis,GO:0042473
negative regulation of skeletal muscle tissue development,GO:0048642
neural retina development,GO:0003407
nitrogen compound transport,GO:0071705
taurine transport,GO:0015734
creatine transmembrane transport,GO:0015881
regulation of neurotransmitter levels,GO:0001505
negative regulation of glutamate secretion,GO:0014050
regulation of norepinephrine secretion,GO:0014061
regulation of double-strand break repair,GO:2000779
regulation of telomere maintenance via telomerase,GO:0032210
protein poly-ADP-ribosylation,GO:0070212
protein auto-ADP-ribosylation,GO:0070213
negative regulation of telomere maintenance via telomere lengthening,GO:1904357
lung goblet cell differentiation,GO:0060480
mucus secretion,GO:0070254
positive regulation of IRE1-mediated unfolded protein response,GO:1903896
mRNA 3'-splice site recognition,GO:0000389
U2-type prespliceosome assembly,GO:1903241
mitochondrial fission,GO:0000266
synaptic vesicle budding from presynaptic endocytic zone membrane,GO:0016185
response to type I interferon,GO:0034340
postsynaptic neurotransmitter receptor internalization,GO:0098884
cellular response to prostaglandin E stimulus,GO:0071380
cellular response to catecholamine stimulus,GO:0071870
adenylate cyclase-activating dopamine receptor signaling pathway,GO:0007191
protein lipoylation,GO:0009249
zonula adherens maintenance,GO:0045218
definitive hemopoiesis,GO:0060216
embryonic eye morphogenesis,GO:0048048
positive regulation of dendritic cell antigen processing and presentation,GO:0002606
nucleotide-binding oligomerization domain containing signaling pathway,GO:0070423
detection of biotic stimulus,GO:0009595
neural fold elevation formation,GO:0021502
embryonic skeletal joint morphogenesis,GO:0060272
negative regulation of prostatic bud formation,GO:0060686
regulation of branching involved in prostate gland morphogenesis,GO:0060687
heart trabecula morphogenesis,GO:0061384
metanephric mesenchymal cell proliferation involved in metanephros development,GO:0072136
positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis,GO:1905312
positive regulation of hyaluranon cable assembly,GO:1900106
negative regulation of mitotic nuclear division,GO:0045839
positive regulation of dendrite development,GO:1900006
regulation of removal of superoxide radicals,GO:2000121
monocyte aggregation,GO:0070487
regulation of pathway-restricted SMAD protein phosphorylation,GO:0060393
negative regulation of striated muscle cell apoptotic process,GO:0010664
NADP catabolic process,GO:0006742
positive regulation of hematopoietic stem cell proliferation,GO:1902035
negative regulation of hematopoietic stem cell differentiation,GO:1902037
ISG15-protein conjugation,GO:0032020
response to interferon-alpha,GO:0035455
regulation of nucleocytoplasmic transport,GO:0046822
wax biosynthetic process,GO:0010025
positive regulation of dendritic spine morphogenesis,GO:0061003
mature ribosome assembly,GO:0042256
negative regulation of defense response to virus,GO:0050687
blood coagulation_ intrinsic pathway,GO:0007597
positive regulation of trophoblast cell migration,GO:1901165
proteasome regulatory particle assembly,GO:0070682
negative regulation of release of cytochrome c from mitochondria,GO:0090201
G protein-coupled adenosine receptor signaling pathway,GO:0001973
positive regulation of glutamate secretion,GO:0014049
response to caffeine,GO:0031000
eating behavior,GO:0042755
membrane depolarization,GO:0051899
prepulse inhibition,GO:0060134
post-embryonic eye morphogenesis,GO:0048050
negative regulation of cardiac muscle cell proliferation,GO:0060044
negative regulation of barbed-end actin filament capping,GO:2000813
urate metabolic process,GO:0046415
macropinocytosis,GO:0044351
anterograde dendritic transport of neurotransmitter receptor complex,GO:0098971
positive regulation of potassium ion transport,GO:0043268
cytoplasm organization,GO:0007028
stress granule disassembly,GO:0035617
regulation of transforming growth factor beta activation,GO:1901388
ganglioside metabolic process,GO:0001573
hard palate development,GO:0060022
CMP catabolic process,GO:0006248
dCMP catabolic process,GO:0006249
UMP catabolic process,GO:0046050
dUMP catabolic process,GO:0046079
pyrimidine nucleoside catabolic process,GO:0046135
histone mRNA metabolic process,GO:0008334
generation of catalytic spliceosome for first transesterification step,GO:0000349
negative regulation of cell adhesion mediated by integrin,GO:0033629
ceramide catabolic process,GO:0046514
heparin biosynthetic process,GO:0030210
chondroitin sulfate proteoglycan biosynthetic process,GO:0050650
dermatan sulfate proteoglycan biosynthetic process,GO:0050651
heparan sulfate proteoglycan biosynthetic process_ polysaccharide chain biosynthetic process,GO:0015014
UDP-N-acetylgalactosamine metabolic process,GO:0019276
microtubule depolymerization,GO:0007019
polyamine metabolic process,GO:0006595
negative regulation of polyamine transmembrane transport,GO:1902268
negative regulation of satellite cell differentiation,GO:1902725
male sex differentiation,GO:0046661
aflatoxin metabolic process,GO:0046222
phospholipase C-activating dopamine receptor signaling pathway,GO:0060158
phospholipase C-activating G protein-coupled acetylcholine receptor signaling pathway,GO:0007207
smooth muscle cell differentiation,GO:0051145
regulation of vascular endothelial growth factor receptor signaling pathway,GO:0030947
N-terminal protein myristoylation,GO:0006499
establishment of protein localization to telomere,GO:0070200
telomere maintenance via recombination,GO:0000722
chordate embryonic development,GO:0043009
regulation of mRNA processing,GO:0050684
negative regulation of receptor-mediated endocytosis,GO:0048261
maintenance of postsynaptic density structure,GO:0099562
embryonic neurocranium morphogenesis,GO:0048702
neutrophil homeostasis,GO:0001780
negative regulation of mesenchymal cell apoptotic process,GO:2001054
negative regulation of centriole replication,GO:0046600
regulation of protein ADP-ribosylation,GO:0010835
negative regulation of rRNA processing,GO:2000233
positive regulation of cAMP-dependent protein kinase activity,GO:2000481
cardiac muscle hypertrophy in response to stress,GO:0014898
glycerol transport,GO:0015793
amylin receptor signaling pathway,GO:0097647
adrenomedullin receptor signaling pathway,GO:1990410
positive regulation of striated muscle cell differentiation,GO:0051155
positive regulation of cysteine-type endopeptidase activity,GO:2001056
protein K6-linked ubiquitination,GO:0085020
protein K29-linked ubiquitination,GO:0035519
protein K27-linked ubiquitination,GO:0044314
lysosome organization,GO:0007040
actin filament-based movement,GO:0030048
regulation of lamellipodium assembly,GO:0010591
negative regulation of RNA splicing,GO:0033119
response to 17alpha-ethynylestradiol,GO:1904486
base-excision repair_ AP site formation,GO:0006285
depyrimidination,GO:0045008
histone demethylation,GO:0016577
positive regulation of histone H3-K9 methylation,GO:0051574
negative regulation of vascular associated smooth muscle cell proliferation,GO:1904706
negative regulation of vascular associated smooth muscle cell migration,GO:1904753
negative regulation of blood-brain barrier permeability,GO:1905604
lipid tube assembly,GO:0060988
positive regulation of membrane tubulation,GO:1903527
regulation of clathrin-dependent endocytosis,GO:2000369
meiotic spindle organization,GO:0000212
cell morphogenesis involved in differentiation,GO:0000904
establishment of T cell polarity,GO:0001768
cytokinetic process,GO:0032506
regulation of plasma membrane repair,GO:1905684
glomerular visceral epithelial cell differentiation,GO:0072112
glomerulus development,GO:0032835
glomerular basement membrane development,GO:0032836
thorax and anterior abdomen determination,GO:0007356
positive regulation of heart growth,GO:0060421
cardiac muscle cell fate commitment,GO:0060923
cellular response to gonadotropin stimulus,GO:0071371
metanephric S-shaped body morphogenesis,GO:0072284
negative regulation of female gonad development,GO:2000195
establishment of planar polarity,GO:0001736
regulation of postsynaptic membrane neurotransmitter receptor levels,GO:0099072
fatty acid elongation_ saturated fatty acid,GO:0019367
very long-chain fatty acid biosynthetic process,GO:0042761
very long-chain fatty acid metabolic process,GO:0000038
fatty acid elongation_ polyunsaturated fatty acid,GO:0034626
fatty acid elongation_ monounsaturated fatty acid,GO:0034625
long-chain fatty-acyl-CoA biosynthetic process,GO:0035338
alpha-linolenic acid metabolic process,GO:0036109
oligosaccharide-lipid intermediate biosynthetic process,GO:0006490
histidine catabolic process,GO:0006548
folic acid-containing compound metabolic process,GO:0006760
vitellogenesis,GO:0007296
positive regulation of lamellipodium morphogenesis,GO:2000394
positive regulation of mammary gland epithelial cell proliferation,GO:0033601
snRNA 3'-end processing,GO:0034472
regulation of stress-activated MAPK cascade,GO:0032872
regulation of early endosome to late endosome transport,GO:2000641
positive regulation of macrophage proliferation,GO:0120041
response to epidermal growth factor,GO:0070849
regulation of Golgi inheritance,GO:0090170
diadenosine tetraphosphate biosynthetic process,GO:0015966
ERBB signaling pathway,GO:0038127
face development,GO:0060324
trachea formation,GO:0060440
labyrinthine layer blood vessel development,GO:0060716
cardiac neural crest cell development involved in heart development,GO:0061308
cellular response to organic substance,GO:0071310
mammary gland branching involved in pregnancy,GO:0060745
positive regulation of NLRP3 inflammasome complex assembly,GO:1900227
fatty acid elongation,GO:0030497
complement receptor mediated signaling pathway,GO:0002430
histone modification,GO:0016570
regulation of gene expression_ epigenetic,GO:0040029
negative regulation of protein kinase activity by regulation of protein phosphorylation,GO:0044387
base conversion or substitution editing,GO:0016553
neuromuscular process controlling posture,GO:0050884
muscle tissue morphogenesis,GO:0060415
regulation of postsynaptic cytosolic calcium ion concentration,GO:0099566
axonemal dynein complex assembly,GO:0070286
positive regulation of synaptic vesicle endocytosis,GO:1900244
ceramide transport,GO:0035627
regulation of thyroid hormone mediated signaling pathway,GO:0002155
ion homeostasis,GO:0050801
positive regulation of sodium ion transport,GO:0010765
positive regulation of ion transmembrane transporter activity,GO:0032414
negative regulation of sodium ion transport,GO:0010766
positive regulation of potassium ion import across plasma membrane,GO:1903288
positive regulation of sodium ion transmembrane transporter activity,GO:2000651
osmosensory signaling pathway,GO:0007231
pentose-phosphate shunt,GO:0006098
pentose-phosphate shunt_ non-oxidative branch,GO:0009052
negative regulation of axon regeneration,GO:0048681
negative regulation of dendritic spine development,GO:0061000
corpus callosum development,GO:0022038
regulation of postsynaptic density assembly,GO:0099151
heparan sulfate proteoglycan biosynthetic process_ enzymatic modification,GO:0015015
cytolysis by host of symbiont cells,GO:0051838
CD8-positive_ gamma-delta intraepithelial T cell differentiation,GO:0002305
negative regulation of leukocyte chemotaxis,GO:0002689
negative regulation of MHC class II biosynthetic process,GO:0045347
intraciliary retrograde transport,GO:0035721
regulation of smoothened signaling pathway,GO:0008589
neural tube patterning,GO:0021532
embryonic camera-type eye development,GO:0031076
photoreceptor cell outer segment organization,GO:0035845
embryonic brain development,GO:1990403
pyrimidine nucleoside metabolic process,GO:0006213
B cell homeostasis,GO:0001782
B cell costimulation,GO:0031296
positive regulation of amyloid precursor protein catabolic process,GO:1902993
regulation of macrophage chemotaxis,GO:0010758
regulation of Rab protein signal transduction,GO:0032483
regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902041
positive regulation of phospholipid translocation,GO:0061092
positive regulation of transporter activity,GO:0032411
negative regulation of protein targeting to membrane,GO:0090315
myotube cell development,GO:0014904
TORC1 signaling,GO:0038202
positive regulation of cell growth involved in cardiac muscle cell development,GO:0061051
positive regulation of sarcomere organization,GO:0060298
regulation of systemic arterial blood pressure by endothelin,GO:0003100
body fluid secretion,GO:0007589
peptide hormone secretion,GO:0030072
nitric oxide transport,GO:0030185
response to muscle stretch,GO:0035994
response to leptin,GO:0044321
positive regulation of cell size,GO:0045793
positive regulation of hormone secretion,GO:0046887
inositol phosphate-mediated signaling,GO:0048016
negative regulation of nitric-oxide synthase biosynthetic process,GO:0051771
maternal process involved in parturition,GO:0060137
positive regulation of prostaglandin-endoperoxide synthase activity,GO:0060585
cellular response to fatty acid,GO:0071398
response to dexamethasone,GO:0071548
response to salt,GO:1902074
organic cation transport,GO:0015695
preantral ovarian follicle growth,GO:0001546
Mullerian duct regression,GO:0001880
regulation of endothelial cell migration,GO:0010594
phosphatidylserine exposure on apoptotic cell surface,GO:0070782
apoptotic process involved in development,GO:1902742
response to interferon-beta,GO:0035456
regulation of type I interferon-mediated signaling pathway,GO:0060338
positive regulation of fibroblast migration,GO:0010763
NAD metabolic process,GO:0019674
mitotic cell cycle checkpoint,GO:0007093
establishment of localization in cell,GO:0051649
glial cell-derived neurotrophic factor receptor signaling pathway,GO:0035860
positive regulation of respiratory burst,GO:0060267
dendritic spine maintenance,GO:0097062
transformation of host cell by virus,GO:0019087
tetrahydrobiopterin biosynthetic process,GO:0006729
L-phenylalanine metabolic process,GO:0006558
luteinization,GO:0001553
fibroblast migration,GO:0010761
cytoskeleton-dependent cytokinesis,GO:0061640
myoblast migration involved in skeletal muscle regeneration,GO:0014839
male meiotic nuclear division,GO:0007140
male genitalia morphogenesis,GO:0048808
3'-UTR-mediated mRNA destabilization,GO:0061158
positive regulation of stem cell differentiation,GO:2000738
negative regulation of sodium ion transmembrane transporter activity,GO:2000650
sphingomyelin biosynthetic process,GO:0006686
S-adenosylmethionine metabolic process,GO:0046500
adaptive thermogenesis,GO:1990845
adenine transport,GO:0015853
positive regulation of mitophagy,GO:1901526
glandular epithelial cell development,GO:0002068
growth plate cartilage development,GO:0003417
ventricular cardiac muscle cell differentiation,GO:0055012
negative regulation of cartilage development,GO:0061037
positive regulation of cellular respiration,GO:1901857
cotranslational protein targeting to membrane,GO:0006613
positive regulation of protein localization to chromosome_ telomeric region,GO:1904816
hindbrain morphogenesis,GO:0021575
protein O-linked glycosylation via threonine,GO:0018243
ubiquinone biosynthetic process,GO:0006744
calcium ion transmembrane import into cytosol,GO:0097553
cellular response to purine-containing compound,GO:0071415
cellular response to temperature stimulus,GO:0071502
estrous cycle,GO:0044849
positive regulation of oxidative stress-induced neuron death,GO:1903223
manganese ion transmembrane transport,GO:0071421
water homeostasis,GO:0030104
cerebrospinal fluid circulation,GO:0090660
regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0032434
establishment of planar polarity of embryonic epithelium,GO:0042249
morphogenesis of a polarized epithelium,GO:0001738
negative regulation of eating behavior,GO:1903999
positive regulation of sensory perception of pain,GO:1904058
positive regulation of behavioral fear response,GO:2000987
cardiac ventricle formation,GO:0003211
noradrenergic neuron differentiation,GO:0003357
glial cell proliferation,GO:0014009
glial cell development,GO:0021782
positive regulation of gamma-delta T cell differentiation,GO:0045588
ascending aorta morphogenesis,GO:0035910
negative regulation of fatty acid metabolic process,GO:0045922
cellular hyperosmotic response,GO:0071474
negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress,GO:1902219
negative regulation of necroptotic process,GO:0060546
D-xylose metabolic process,GO:0042732
actomyosin contractile ring assembly,GO:0000915
regulation of cell-matrix adhesion,GO:0001952
epithelial cell development,GO:0002064
peroxisome organization,GO:0007031
long-chain fatty acid import into peroxisome,GO:0015910
very long-chain fatty acid catabolic process,GO:0042760
muscle cell development,GO:0055001
cellular response to magnesium ion,GO:0071286
positive regulation of cation channel activity,GO:2001259
protein localization to axon,GO:0099612
negative regulation of toll-like receptor 2 signaling pathway,GO:0034136
cellular response to progesterone stimulus,GO:0071393
protein K29-linked deubiquitination,GO:0035523
protein K33-linked deubiquitination,GO:1990168
protein K27-linked deubiquitination,GO:1990167
negative regulation of glomerular filtration,GO:0003105
regulation of glomerular filtration,GO:0003093
regulation of toll-like receptor signaling pathway,GO:0034121
vestibulocochlear nerve formation,GO:0021650
inner ear receptor cell development,GO:0060119
regulation of chloride transport,GO:2001225
positive regulation of protein localization to nucleolus,GO:1904751
negative regulation of telomerase activity,GO:0051974
protein localization to nucleolus,GO:1902570
blood vessel endothelial cell proliferation involved in sprouting angiogenesis,GO:0002043
receptor recycling,GO:0001881
positive regulation of T-helper 17 cell differentiation,GO:2000321
response to fungus,GO:0009620
T cell proliferation,GO:0042098
regulation of T cell receptor signaling pathway,GO:0050856
positive regulation of mRNA catabolic process,GO:0061014
regulation of tyrosine phosphorylation of STAT protein,GO:0042509
negative regulation of cAMP-mediated signaling,GO:0043951
regulation of locomotor rhythm,GO:1904059
lymphocyte homeostasis,GO:0002260
antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway_ TAP-independent,GO:0002486
antigen processing and presentation of exogenous peptide antigen via MHC class I,GO:0042590
multicellular organismal reproductive process,GO:0048609
cellular response to gonadotropin-releasing hormone,GO:0097211
melanosome assembly,GO:1903232
positive regulation of receptor catabolic process,GO:2000646
positive regulation of leukocyte migration,GO:0002687
negative regulation of peptidyl-cysteine S-nitrosylation,GO:1902083
heparan sulfate proteoglycan biosynthetic process,GO:0015012
ossification involved in bone maturation,GO:0043931
positive regulation of neurotransmitter secretion,GO:0001956
intracellular steroid hormone receptor signaling pathway,GO:0030518
positive regulation of release of sequestered calcium ion into cytosol,GO:0051281
apoptotic chromosome condensation,GO:0030263
positive regulation of G protein-coupled receptor signaling pathway,GO:0045745
positive regulation of inositol trisphosphate biosynthetic process,GO:0032962
positive regulation of uterine smooth muscle contraction,GO:0070474
branched-chain amino acid catabolic process,GO:0009083
valine catabolic process,GO:0006574
thymine catabolic process,GO:0006210
lymphocyte differentiation,GO:0030098
triglyceride homeostasis,GO:0070328
positive regulation of lipoprotein lipase activity,GO:0051006
negative regulation of lipid transport,GO:0032369
negative regulation of pinocytosis,GO:0048550
negative regulation of pancreatic juice secretion,GO:0090188
cellular lipid metabolic process,GO:0044255
negative regulation of calcineurin-NFAT signaling cascade,GO:0070885
locomotion involved in locomotory behavior,GO:0031987
phototransduction_ visible light,GO:0007603
cellular response to pH,GO:0071467
positive regulation of hydrogen peroxide-mediated programmed cell death,GO:1901300
negative regulation of microtubule depolymerization,GO:0007026
protein-containing complex disassembly,GO:0032984
collateral sprouting,GO:0048668
positive regulation of mitophagy in response to mitochondrial depolarization,GO:0098779
regulation of autophagy of mitochondrion,GO:1903146
negative regulation of oxidoreductase activity,GO:0051354
response to misfolded protein,GO:0051788
response to growth factor,GO:0070848
regulation of gamma-delta T cell differentiation,GO:0045586
endocardial cushion fusion,GO:0003274
positive regulation of transcription from RNA polymerase II promoter involved in heart development,GO:1901228
positive regulation of Notch signaling pathway involved in heart induction,GO:0035481
regulation of cellular senescence,GO:2000772
positive regulation of macrophage activation,GO:0043032
cellular response to lipoteichoic acid,GO:0071223
