process,go,genes,id
establishment of mitochondrion localization,GO:0051654,ENSG00000116141;ENSG00000149557;ENSG00000130202;,2228
nitrate metabolic process,GO:0042126,ENSG00000117791;ENSG00000186205;ENSG00000176946;,2229
positive regulation of T-helper 1 cell differentiation,GO:0045627,ENSG00000136630;ENSG00000171150;ENSG00000121594;ENSG00000104312;ENSG00000172724;ENSG00000135046;,2230
negative regulation of T-helper 2 cell differentiation,GO:0045629,ENSG00000136630;ENSG00000171150;ENSG00000113916;ENSG00000135046;,2231
positive regulation of organ growth,GO:0046622,ENSG00000136630;ENSG00000107831;ENSG00000175097;ENSG00000137693;ENSG00000060138;ENSG00000142208;ENSG00000007402;ENSG00000120742;ENSG00000128602;ENSG00000104432;ENSG00000004848;ENSG00000122122;,2232
enteric nervous system development,GO:0048484,ENSG00000136630;ENSG00000165731;ENSG00000165462;ENSG00000136160;ENSG00000066735;ENSG00000005513;ENSG00000115297;ENSG00000175329;ENSG00000100146;ENSG00000109132;ENSG00000151617;ENSG00000168621;ENSG00000004848;ENSG00000101883;ENSG00000204138;,2233
animal organ development,GO:0048513,ENSG00000136630;ENSG00000148516;ENSG00000185737;ENSG00000107807;ENSG00000136158;ENSG00000213218;ENSG00000136487;ENSG00000136488;ENSG00000204414;ENSG00000259384;ENSG00000115297;ENSG00000163273;ENSG00000168036;ENSG00000109705;ENSG00000164056;ENSG00000158458;ENSG00000187678;ENSG00000164438;ENSG00000157168;ENSG00000083168;ENSG00000131668;ENSG00000168939;,2234
embryonic digestive tract morphogenesis,GO:0048557,ENSG00000136630;ENSG00000066468;ENSG00000166831;ENSG00000103241;ENSG00000176887;ENSG00000115738;ENSG00000170577;ENSG00000163501;ENSG00000125850;ENSG00000168779;ENSG00000134853;ENSG00000164190;ENSG00000070193;ENSG00000081059;ENSG00000118526;ENSG00000106571;ENSG00000164690;,2235
negative regulation of JUN kinase activity,GO:0043508,ENSG00000143507;ENSG00000186063;ENSG00000150593;ENSG00000110422;ENSG00000121653;ENSG00000084207;ENSG00000057149;ENSG00000197372;ENSG00000162999;ENSG00000145423;ENSG00000104332;ENSG00000086061;ENSG00000134242;ENSG00000175206;,2236
negative regulation of JNK cascade,GO:0046329,ENSG00000143507;ENSG00000186063;ENSG00000015171;ENSG00000121653;ENSG00000133895;ENSG00000135090;ENSG00000165617;ENSG00000142208;ENSG00000083799;ENSG00000140832;ENSG00000007168;ENSG00000132522;ENSG00000179094;ENSG00000141027;ENSG00000108861;ENSG00000197372;ENSG00000162999;ENSG00000198053;ENSG00000078747;ENSG00000085276;ENSG00000164251;ENSG00000171720;ENSG00000156463;ENSG00000124743;ENSG00000185345;ENSG00000106692;ENSG00000106927;ENSG00000158828;,2237
negative regulation of p38MAPK cascade,GO:1903753,ENSG00000143507;ENSG00000083799;ENSG00000075711;ENSG00000120129;ENSG00000092820;ENSG00000134242;,2238
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity,GO:1990264,ENSG00000143507;ENSG00000151490;ENSG00000127329;ENSG00000108861;ENSG00000142513;ENSG00000196090;ENSG00000196396;,2239
peptidyl-threonine dephosphorylation,GO:0035970,ENSG00000143507;ENSG00000138166;ENSG00000184545;ENSG00000172531;ENSG00000111266;ENSG00000139318;ENSG00000100614;ENSG00000175175;ENSG00000170836;ENSG00000011485;ENSG00000115241;ENSG00000138032;ENSG00000158050;ENSG00000100034;ENSG00000167065;ENSG00000164086;ENSG00000113575;ENSG00000120129;ENSG00000120875;ENSG00000104695;ENSG00000164951;ENSG00000130829;,2240
negative regulation of stress-activated MAPK cascade,GO:0032873,ENSG00000143507;ENSG00000084207;ENSG00000111206;ENSG00000150907;ENSG00000172053;ENSG00000196262;ENSG00000168078;ENSG00000136997;ENSG00000089289;,2241
oligodendrocyte differentiation,GO:0048709,ENSG00000143507;ENSG00000176171;ENSG00000148826;ENSG00000110693;ENSG00000124920;ENSG00000139352;ENSG00000133107;ENSG00000136352;ENSG00000100678;ENSG00000103653;ENSG00000005513;ENSG00000141736;ENSG00000173786;ENSG00000125398;ENSG00000144230;ENSG00000176720;ENSG00000205927;ENSG00000184221;ENSG00000100146;ENSG00000163623;ENSG00000171368;ENSG00000106571;ENSG00000106278;ENSG00000164885;ENSG00000164690;ENSG00000157168;ENSG00000148053;ENSG00000148400;ENSG00000196338;ENSG00000134198;ENSG00000123080;,2242
negative regulation of oligodendrocyte differentiation,GO:0048715,ENSG00000143507;ENSG00000196712;ENSG00000006042;ENSG00000115738;ENSG00000144355;ENSG00000115844;ENSG00000168036;ENSG00000151577;ENSG00000114315;ENSG00000172201;ENSG00000146122;ENSG00000148400;ENSG00000197921;,2243
regulation of brown fat cell differentiation,GO:0090335,ENSG00000143507;ENSG00000096717;ENSG00000140718;ENSG00000174697;ENSG00000198793;,2244
transcription by RNA polymerase I,GO:0006360,ENSG00000143498;ENSG00000177700;ENSG00000110768;ENSG00000103168;ENSG00000108312;ENSG00000117877;ENSG00000115750;ENSG00000171453;,2245
positive regulation of gene expression_ epigenetic,GO:0045815,ENSG00000143498;ENSG00000225830;ENSG00000165732;ENSG00000177700;ENSG00000166012;ENSG00000186184;ENSG00000103168;ENSG00000197879;ENSG00000132382;ENSG00000108773;ENSG00000132471;ENSG00000099817;ENSG00000117877;ENSG00000063176;ENSG00000115750;ENSG00000068654;ENSG00000125630;ENSG00000115524;ENSG00000100142;ENSG00000100393;ENSG00000114166;ENSG00000163882;ENSG00000153147;ENSG00000113648;ENSG00000124795;ENSG00000066379;ENSG00000171453;ENSG00000112592;ENSG00000075624;ENSG00000105849;ENSG00000009954;ENSG00000147669;ENSG00000137054;,2246
transcription initiation from RNA polymerase I promoter,GO:0006361,ENSG00000143498;ENSG00000177700;ENSG00000110768;ENSG00000166012;ENSG00000111358;ENSG00000186184;ENSG00000020426;ENSG00000085721;ENSG00000102882;ENSG00000103168;ENSG00000177469;ENSG00000108312;ENSG00000099817;ENSG00000104884;ENSG00000117877;ENSG00000115750;ENSG00000068654;ENSG00000125630;ENSG00000163161;ENSG00000100142;ENSG00000163882;ENSG00000134058;ENSG00000145736;ENSG00000134480;ENSG00000066379;ENSG00000213780;ENSG00000171453;ENSG00000272047;ENSG00000112592;ENSG00000105849;ENSG00000147669;ENSG00000137054;ENSG00000147133;,2247
transcription elongation from RNA polymerase I promoter,GO:0006362,ENSG00000143498;ENSG00000225830;ENSG00000177700;ENSG00000110768;ENSG00000166012;ENSG00000111358;ENSG00000186184;ENSG00000020426;ENSG00000103168;ENSG00000108312;ENSG00000099817;ENSG00000104884;ENSG00000117877;ENSG00000115750;ENSG00000068654;ENSG00000125630;ENSG00000163161;ENSG00000100142;ENSG00000163882;ENSG00000134058;ENSG00000145736;ENSG00000134480;ENSG00000066379;ENSG00000213780;ENSG00000171453;ENSG00000272047;ENSG00000112592;ENSG00000105849;ENSG00000147669;ENSG00000137054;,2248
termination of RNA polymerase I transcription,GO:0006363,ENSG00000143498;ENSG00000177700;ENSG00000110768;ENSG00000166012;ENSG00000111358;ENSG00000186184;ENSG00000020426;ENSG00000103168;ENSG00000177469;ENSG00000108312;ENSG00000099817;ENSG00000104884;ENSG00000117877;ENSG00000115750;ENSG00000068654;ENSG00000125630;ENSG00000163161;ENSG00000100142;ENSG00000163882;ENSG00000134058;ENSG00000145736;ENSG00000134480;ENSG00000066379;ENSG00000213780;ENSG00000171453;ENSG00000272047;ENSG00000112592;ENSG00000105849;ENSG00000147669;ENSG00000137054;ENSG00000125482;,2249
vesicle cargo loading,GO:0035459,ENSG00000154305;ENSG00000073921;ENSG00000086598;ENSG00000150527;ENSG00000170348;ENSG00000212710;ENSG00000137177;ENSG00000236761;ENSG00000271321;ENSG00000244693;,2250
lipoprotein transport,GO:0042953,ENSG00000154305;ENSG00000107611;ENSG00000123384;ENSG00000186908;ENSG00000175970;ENSG00000166501;ENSG00000109103;ENSG00000234906;ENSG00000084674;ENSG00000132170;ENSG00000138823;ENSG00000135218;ENSG00000038945;,2251
cell migration involved in sprouting angiogenesis,GO:0002042,ENSG00000154305;ENSG00000150093;ENSG00000099250;ENSG00000173269;ENSG00000123358;ENSG00000125266;ENSG00000176435;ENSG00000142208;ENSG00000166923;ENSG00000241186;ENSG00000169855;ENSG00000145147;ENSG00000128052;ENSG00000138685;ENSG00000111863;ENSG00000112293;ENSG00000112658;ENSG00000112715;ENSG00000196411;ENSG00000179388;ENSG00000117461;,2252
COPII-coated vesicle cargo loading,GO:0090110,ENSG00000154305;ENSG00000079332;ENSG00000176986;ENSG00000075826;ENSG00000100934;ENSG00000138069;ENSG00000125875;ENSG00000101310;ENSG00000157020;ENSG00000114650;ENSG00000138674;ENSG00000138802;ENSG00000150961;ENSG00000113615;,2253
negative regulation of leukocyte cell-cell adhesion,GO:1903038,ENSG00000154305;ENSG00000060237;ENSG00000142208;ENSG00000186951;ENSG00000111863;ENSG00000130707;,2254
cellular response to oxidised low-density lipoprotein particle stimulus,GO:0140052,ENSG00000154305;ENSG00000142208;ENSG00000103056;ENSG00000129226;ENSG00000127666;ENSG00000172936;ENSG00000174130;ENSG00000111863;ENSG00000135218;ENSG00000136869;,2255
negative regulation of lymphocyte migration,GO:2000402,ENSG00000154305;ENSG00000142208;ENSG00000174500;ENSG00000111863;ENSG00000106299;,2256
dorsal/ventral pattern formation,GO:0009953,ENSG00000186063;ENSG00000154309;ENSG00000107779;ENSG00000107872;ENSG00000007372;ENSG00000134569;ENSG00000187240;ENSG00000177103;ENSG00000139567;ENSG00000111087;ENSG00000176165;ENSG00000173917;ENSG00000183691;ENSG00000105701;ENSG00000138002;ENSG00000214513;ENSG00000163064;ENSG00000074047;ENSG00000115170;ENSG00000128713;ENSG00000125850;ENSG00000101052;ENSG00000154764;ENSG00000168036;ENSG00000169379;ENSG00000163913;ENSG00000090539;ENSG00000138696;ENSG00000164161;ENSG00000131437;ENSG00000175325;ENSG00000078401;ENSG00000164651;ENSG00000105996;ENSG00000005073;ENSG00000164532;ENSG00000106571;ENSG00000128602;ENSG00000164690;ENSG00000185920;ENSG00000106689;ENSG00000136944;ENSG00000107187;,2257
regulation of protein-containing complex assembly,GO:0043254,ENSG00000186063;ENSG00000109971;ENSG00000179941;ENSG00000179295;ENSG00000080824;ENSG00000131095;ENSG00000125912;ENSG00000127666;ENSG00000130203;ENSG00000123485;ENSG00000173404;ENSG00000113905;ENSG00000164331;ENSG00000237693;ENSG00000131023;ENSG00000135218;ENSG00000136848;ENSG00000127191;ENSG00000172534;ENSG00000158828;,2258
embryonic pattern specification,GO:0009880,ENSG00000154309;ENSG00000156574;ENSG00000066468;ENSG00000109906;ENSG00000070018;ENSG00000134138;ENSG00000166949;ENSG00000175387;ENSG00000105419;ENSG00000143995;ENSG00000214513;ENSG00000197121;ENSG00000119042;ENSG00000178568;ENSG00000163501;ENSG00000101144;ENSG00000159263;ENSG00000183145;ENSG00000170365;ENSG00000070193;ENSG00000113658;ENSG00000203907;ENSG00000203877;ENSG00000164690;ENSG00000090776;ENSG00000147223;,2259
peptide transport,GO:0015833,ENSG00000154309;ENSG00000110446;ENSG00000188991;ENSG00000150967;ENSG00000139370;ENSG00000088386;ENSG00000163406;ENSG00000204267;ENSG00000168394;ENSG00000231925;,2260
diaphragm development,GO:0060539,ENSG00000154309;ENSG00000184937;ENSG00000137868;ENSG00000169282;ENSG00000127418;ENSG00000176788;ENSG00000118526;ENSG00000178860;ENSG00000130707;,2261
regulation of protein secretion,GO:0050708,ENSG00000154309;ENSG00000136770;ENSG00000254647;ENSG00000173432;ENSG00000007384;ENSG00000131899;ENSG00000171431;ENSG00000073350;ENSG00000129667;ENSG00000078142;ENSG00000100263;ENSG00000145087;ENSG00000164144;ENSG00000145730;ENSG00000232810;ENSG00000164506;ENSG00000117385;,2262
MyD88-dependent toll-like receptor signaling pathway,GO:0002755,ENSG00000187554;ENSG00000175104;ENSG00000150455;ENSG00000198001;ENSG00000090376;ENSG00000150991;ENSG00000170315;ENSG00000221983;ENSG00000143947;ENSG00000143954;ENSG00000144381;ENSG00000100324;ENSG00000134070;ENSG00000172936;ENSG00000239732;ENSG00000174123;ENSG00000174125;ENSG00000174130;ENSG00000137462;ENSG00000095015;ENSG00000170458;ENSG00000145901;ENSG00000135341;ENSG00000055208;ENSG00000135218;ENSG00000154589;ENSG00000136869;ENSG00000196664;ENSG00000101916;ENSG00000157625;ENSG00000010671;ENSG00000184216;,2263
regulation of cytokine secretion,GO:0050707,ENSG00000187554;ENSG00000119927;ENSG00000185338;ENSG00000239732;ENSG00000174123;ENSG00000174125;ENSG00000174130;ENSG00000137462;ENSG00000254087;ENSG00000104415;ENSG00000101916;,2264
positive regulation of toll-like receptor signaling pathway,GO:0034123,ENSG00000187554;ENSG00000239732;ENSG00000137462;ENSG00000164342;,2265
digestion,GO:0007586,ENSG00000203697;ENSG00000135773;ENSG00000187134;ENSG00000151632;ENSG00000178473;ENSG00000229859;ENSG00000256713;ENSG00000070019;ENSG00000204583;ENSG00000168928;ENSG00000168925;ENSG00000169605;ENSG00000163295;ENSG00000128165;ENSG00000187094;ENSG00000145040;ENSG00000157005;ENSG00000109819;ENSG00000196748;ENSG00000204140;ENSG00000137392;ENSG00000096088;ENSG00000146233;ENSG00000122787;ENSG00000204983;ENSG00000010438;ENSG00000087842;ENSG00000044012;ENSG00000197273;,2266
female pregnancy,GO:0007565,ENSG00000162909;ENSG00000135744;ENSG00000023839;ENSG00000119973;ENSG00000148926;ENSG00000006071;ENSG00000131808;ENSG00000149021;ENSG00000175592;ENSG00000175567;ENSG00000134954;ENSG00000006831;ENSG00000126838;ENSG00000133703;ENSG00000087494;ENSG00000111371;ENSG00000134294;ENSG00000111405;ENSG00000161638;ENSG00000166863;ENSG00000083782;ENSG00000165474;ENSG00000119630;ENSG00000170345;ENSG00000119699;ENSG00000125166;ENSG00000176387;ENSG00000102967;ENSG00000168961;ENSG00000131759;ENSG00000173757;ENSG00000131477;ENSG00000120088;ENSG00000159224;ENSG00000141433;ENSG00000171791;ENSG00000105329;ENSG00000221826;ENSG00000231924;ENSG00000221878;ENSG00000204941;ENSG00000243137;ENSG00000183668;ENSG00000125740;ENSG00000063176;ENSG00000063245;ENSG00000084774;ENSG00000163794;ENSG00000115457;ENSG00000115461;ENSG00000101405;ENSG00000178726;ENSG00000087460;ENSG00000173638;ENSG00000093010;ENSG00000180914;ENSG00000188338;ENSG00000114491;ENSG00000121853;ENSG00000184160;ENSG00000004468;ENSG00000145244;ENSG00000164120;ENSG00000164171;ENSG00000145708;ENSG00000113441;ENSG00000172179;ENSG00000010704;ENSG00000204580;ENSG00000007866;ENSG00000112782;ENSG00000118520;ENSG00000189143;ENSG00000105835;ENSG00000174697;ENSG00000147437;ENSG00000168081;ENSG00000131203;ENSG00000147571;ENSG00000107014;ENSG00000107018;ENSG00000099139;ENSG00000106927;ENSG00000182752;ENSG00000101846;ENSG00000102316;ENSG00000094841;ENSG00000085465;ENSG00000084636;ENSG00000117394;ENSG00000175206;,2267
positive regulation of cardiac muscle cell apoptotic process,GO:0010666,ENSG00000162909;ENSG00000135744;ENSG00000171862;ENSG00000176171;ENSG00000078237;ENSG00000062524;ENSG00000141510;ENSG00000180871;ENSG00000145349;ENSG00000151615;ENSG00000113161;ENSG00000070808;ENSG00000197442;,2268
behavioral response to pain,GO:0048266,ENSG00000162909;ENSG00000109991;ENSG00000184574;ENSG00000135124;ENSG00000187848;ENSG00000137801;ENSG00000196689;ENSG00000233670;ENSG00000141837;ENSG00000115353;ENSG00000169432;ENSG00000100300;ENSG00000113296;ENSG00000179403;,2269
positive regulation of phosphatidylcholine biosynthetic process,GO:2001247,ENSG00000162909;ENSG00000123892;ENSG00000123983;,2270
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway,GO:1900740,ENSG00000143514;ENSG00000107643;ENSG00000002330;ENSG00000198176;ENSG00000100453;ENSG00000088808;ENSG00000108953;ENSG00000141510;ENSG00000136448;ENSG00000141682;ENSG00000171791;ENSG00000105327;ENSG00000134308;ENSG00000221823;ENSG00000064012;ENSG00000101412;ENSG00000166913;ENSG00000015475;ENSG00000128245;ENSG00000114126;ENSG00000073282;ENSG00000170027;ENSG00000120910;ENSG00000164924;ENSG00000097033;ENSG00000175793;ENSG00000078900;,2271
positive regulation of execution phase of apoptosis,GO:1900119,ENSG00000143514;ENSG00000141510;ENSG00000068903;ENSG00000078098;ENSG00000176720;ENSG00000124212;ENSG00000164741;ENSG00000163874;,2272
unsaturated fatty acid biosynthetic process,GO:0006636,ENSG00000143753;ENSG00000099194;ENSG00000119915;ENSG00000134824;ENSG00000149485;ENSG00000221968;ENSG00000242612;ENSG00000145284;ENSG00000170522;ENSG00000164181;ENSG00000197977;ENSG00000012660;ENSG00000118402;ENSG00000066322;,2273
myelin maintenance,GO:0043217,ENSG00000143753;ENSG00000173208;ENSG00000082397;ENSG00000121966;ENSG00000101986;,2274
ribosomal large subunit biogenesis,GO:0042273,ENSG00000143748;ENSG00000133316;ENSG00000149716;ENSG00000155393;ENSG00000132603;ENSG00000161970;ENSG00000073536;ENSG00000138442;ENSG00000242372;ENSG00000100029;ENSG00000188846;ENSG00000182899;ENSG00000198301;ENSG00000173545;ENSG00000181163;ENSG00000037241;ENSG00000048162;ENSG00000111845;ENSG00000197498;ENSG00000156928;ENSG00000179041;ENSG00000147604;ENSG00000148296;ENSG00000122406;ENSG00000142676;ENSG00000117395;ENSG00000053372;ENSG00000188976;,2275
regulation of AMPA receptor activity,GO:2000311,ENSG00000143786;ENSG00000174871;ENSG00000162105;ENSG00000237515;ENSG00000006116;ENSG00000169181;ENSG00000141503;ENSG00000169992;ENSG00000188803;ENSG00000075429;ENSG00000075461;ENSG00000161681;ENSG00000105605;ENSG00000187902;ENSG00000179915;ENSG00000166862;ENSG00000234965;ENSG00000008735;ENSG00000169760;ENSG00000081189;ENSG00000204314;ENSG00000196338;,2276
synaptic transmission_ glutamatergic,GO:0035249,ENSG00000143786;ENSG00000182771;ENSG00000091664;ENSG00000174871;ENSG00000149403;ENSG00000139182;ENSG00000179520;ENSG00000137766;ENSG00000150394;ENSG00000108405;ENSG00000141837;ENSG00000130477;ENSG00000105737;ENSG00000105402;ENSG00000104888;ENSG00000115902;ENSG00000003393;ENSG00000125814;ENSG00000171189;ENSG00000128271;ENSG00000152208;ENSG00000120251;ENSG00000164418;ENSG00000185345;ENSG00000164885;ENSG00000182197;ENSG00000198722;ENSG00000148082;ENSG00000176884;ENSG00000163873;,2277
neutrophil differentiation,GO:0030223,ENSG00000143815;ENSG00000171135;ENSG00000138795;ENSG00000164400;,2278
actin polymerization or depolymerization,GO:0008154,ENSG00000154380;ENSG00000136754;ENSG00000197321;ENSG00000135407;ENSG00000196405;ENSG00000177731;ENSG00000125753;ENSG00000042493;ENSG00000115935;ENSG00000138443;ENSG00000127831;ENSG00000125868;ENSG00000160284;ENSG00000157017;ENSG00000136059;ENSG00000121853;ENSG00000112186;ENSG00000006747;ENSG00000106299;ENSG00000148180;ENSG00000015285;ENSG00000131236;ENSG00000077549;,2279
actin polymerization-dependent cell motility,GO:0070358,ENSG00000154380;ENSG00000151491;ENSG00000123338;ENSG00000111229;ENSG00000115091;ENSG00000163466;ENSG00000152409;,2280
aromatic compound catabolic process,GO:0019439,ENSG00000143819;ENSG00000005421;ENSG00000105852;ENSG00000105854;ENSG00000120915;,2281
epoxide metabolic process,GO:0097176,ENSG00000143819;ENSG00000105131;ENSG00000120915;,2282
cellular aromatic compound metabolic process,GO:0006725,ENSG00000143819;ENSG00000140505;ENSG00000138061;ENSG00000104549;ENSG00000142973;,2283
proline biosynthetic process,GO:0006561,ENSG00000143811;ENSG00000059573;ENSG00000183010;ENSG00000104524;,2284
L-proline biosynthetic process,GO:0055129,ENSG00000143811;ENSG00000059573;ENSG00000065154;ENSG00000165555;ENSG00000183010;ENSG00000104524;,2285
regulation of cell cycle arrest,GO:0071156,ENSG00000143751;ENSG00000111206;ENSG00000105221;ENSG00000136717;ENSG00000162992;ENSG00000164885;ENSG00000171612;,2286
DNA replication-independent nucleosome assembly,GO:0006336,ENSG00000163041;ENSG00000197837;ENSG00000196497;ENSG00000118900;ENSG00000132475;ENSG00000105011;ENSG00000128708;ENSG00000100084;ENSG00000099991;ENSG00000197061;ENSG00000158406;ENSG00000197238;ENSG00000111875;ENSG00000085224;ENSG00000162521;ENSG00000132780;,2287
telomere organization,GO:0032200,ENSG00000163041;ENSG00000197837;ENSG00000051180;ENSG00000132475;ENSG00000104885;ENSG00000197061;ENSG00000197409;ENSG00000158406;ENSG00000197238;ENSG00000197153;,2288
pericentric heterochromatin assembly,GO:0031508,ENSG00000163041;ENSG00000119969;ENSG00000166582;ENSG00000132475;ENSG00000124201;,2289
regulation of centromere complex assembly,GO:0090230,ENSG00000163041;ENSG00000139687;ENSG00000132475;,2290
digestive tract development,GO:0048565,ENSG00000185155;ENSG00000119919;ENSG00000066468;ENSG00000110148;ENSG00000166341;ENSG00000205213;ENSG00000052850;ENSG00000166250;ENSG00000139515;ENSG00000139687;ENSG00000100888;ENSG00000119699;ENSG00000140465;ENSG00000008710;ENSG00000103241;ENSG00000141052;ENSG00000105329;ENSG00000168542;ENSG00000125820;ENSG00000180914;ENSG00000163513;ENSG00000066405;ENSG00000157404;ENSG00000196159;ENSG00000145431;ENSG00000164190;ENSG00000070193;ENSG00000134057;ENSG00000113749;ENSG00000106078;ENSG00000128602;ENSG00000164889;ENSG00000180053;,2291
gastrulation,GO:0007369,ENSG00000185155;ENSG00000156574;ENSG00000075290;ENSG00000107831;ENSG00000177963;ENSG00000134817;ENSG00000198431;ENSG00000102710;ENSG00000133937;ENSG00000166949;ENSG00000166823;ENSG00000140691;ENSG00000141510;ENSG00000175387;ENSG00000141646;ENSG00000136698;ENSG00000115170;ENSG00000036257;ENSG00000101246;ENSG00000100084;ENSG00000163508;ENSG00000163513;ENSG00000163389;ENSG00000248329;ENSG00000204628;ENSG00000112658;ENSG00000091140;ENSG00000164736;ENSG00000182197;ENSG00000147869;ENSG00000137154;ENSG00000119508;ENSG00000148204;ENSG00000171388;ENSG00000117614;ENSG00000117713;,2292
endoderm formation,GO:0001706,ENSG00000185155;ENSG00000107984;ENSG00000138166;ENSG00000183691;ENSG00000175387;ENSG00000158050;ENSG00000163508;ENSG00000168036;ENSG00000120129;ENSG00000164532;ENSG00000171056;ENSG00000120875;ENSG00000164736;,2293
cell migration involved in gastrulation,GO:0042074,ENSG00000185155;ENSG00000156574;ENSG00000177963;ENSG00000162337;ENSG00000105429;ENSG00000164736;ENSG00000147869;ENSG00000126016;ENSG00000147257;,2294
reproduction,GO:0000003,ENSG00000183814;ENSG00000125787;ENSG00000147437;ENSG00000189409;,2295
protein ADP-ribosylation,GO:0006471,ENSG00000143799;ENSG00000107854;ENSG00000142082;ENSG00000167311;ENSG00000129744;ENSG00000111339;ENSG00000089163;ENSG00000102699;ENSG00000129484;ENSG00000138617;ENSG00000137817;ENSG00000077463;ENSG00000068903;ENSG00000041880;ENSG00000168374;ENSG00000138496;ENSG00000173193;ENSG00000163659;ENSG00000156219;ENSG00000151883;ENSG00000124523;ENSG00000105939;ENSG00000173273;ENSG00000178685;,2296
double-strand break repair,GO:0006302,ENSG00000143799;ENSG00000152457;ENSG00000166313;ENSG00000149115;ENSG00000168496;ENSG00000146670;ENSG00000172977;ENSG00000020922;ENSG00000188486;ENSG00000002016;ENSG00000139618;ENSG00000174405;ENSG00000129484;ENSG00000100918;ENSG00000081177;ENSG00000042088;ENSG00000182979;ENSG00000128908;ENSG00000185043;ENSG00000197774;ENSG00000166783;ENSG00000141510;ENSG00000005156;ENSG00000012048;ENSG00000180336;ENSG00000154920;ENSG00000136492;ENSG00000101596;ENSG00000105393;ENSG00000179168;ENSG00000012061;ENSG00000079785;ENSG00000158019;ENSG00000095002;ENSG00000169621;ENSG00000079246;ENSG00000187736;ENSG00000244588;ENSG00000101442;ENSG00000183765;ENSG00000041880;ENSG00000113812;ENSG00000051341;ENSG00000138496;ENSG00000163840;ENSG00000163961;ENSG00000163322;ENSG00000071539;ENSG00000112941;ENSG00000164190;ENSG00000152422;ENSG00000113522;ENSG00000087206;ENSG00000111802;ENSG00000112130;ENSG00000171320;ENSG00000165392;ENSG00000253729;ENSG00000104313;ENSG00000104320;ENSG00000164754;ENSG00000137074;ENSG00000165280;ENSG00000107290;ENSG00000185515;ENSG00000158161;ENSG00000085999;ENSG00000116670;,2297
positive regulation of cardiac muscle hypertrophy,GO:0010613,ENSG00000143799;ENSG00000135744;ENSG00000151239;ENSG00000017427;ENSG00000068305;ENSG00000154229;ENSG00000067900;ENSG00000134318;ENSG00000163217;ENSG00000160191;ENSG00000138814;ENSG00000145349;ENSG00000138735;ENSG00000164107;ENSG00000134352;ENSG00000078401;ENSG00000105887;ENSG00000120907;ENSG00000169398;ENSG00000119508;ENSG00000136807;ENSG00000090020;,2298
signal transduction involved in regulation of gene expression,GO:0023019,ENSG00000143799;ENSG00000107831;ENSG00000007372;ENSG00000133937;ENSG00000166949;ENSG00000166823;ENSG00000149922;ENSG00000175387;ENSG00000179284;ENSG00000119888;ENSG00000162992;ENSG00000101076;ENSG00000169860;ENSG00000163132;ENSG00000134853;ENSG00000138675;ENSG00000120149;ENSG00000164458;ENSG00000164736;ENSG00000147869;,2299
positive regulation of intracellular estrogen receptor signaling pathway,GO:0033148,ENSG00000143799;ENSG00000149269;ENSG00000137693;ENSG00000167548;ENSG00000129514;ENSG00000125686;ENSG00000132471;ENSG00000170820;ENSG00000145604;ENSG00000169083;ENSG00000183888;,2300
regulation of DNA methylation,GO:0044030,ENSG00000143799;ENSG00000196199;ENSG00000100462;ENSG00000012048;ENSG00000134046;ENSG00000071655;ENSG00000159055;ENSG00000178804;ENSG00000165097;ENSG00000204371;ENSG00000147596;ENSG00000083307;ENSG00000117000;ENSG00000084073;,2301
positive regulation of SMAD protein signal transduction,GO:0060391,ENSG00000143799;ENSG00000156574;ENSG00000107779;ENSG00000125378;ENSG00000119699;ENSG00000178188;ENSG00000102900;ENSG00000141646;ENSG00000153071;ENSG00000153162;ENSG00000137261;ENSG00000157110;ENSG00000096968;ENSG00000106799;,2302
protein poly-ADP-ribosylation,GO:0070212,ENSG00000143799;ENSG00000107854;ENSG00000129484;ENSG00000041880;ENSG00000173200;ENSG00000173193;ENSG00000173273;ENSG00000178685;,2303
cellular response to zinc ion,GO:0071294,ENSG00000143799;ENSG00000244020;ENSG00000122986;ENSG00000135124;ENSG00000102891;ENSG00000087250;ENSG00000125148;ENSG00000169715;ENSG00000205364;ENSG00000205362;ENSG00000169688;ENSG00000198417;ENSG00000125144;ENSG00000205358;ENSG00000187193;ENSG00000171303;ENSG00000118260;ENSG00000100300;ENSG00000145888;ENSG00000101958;ENSG00000188786;ENSG00000159363;,2304
response to aldosterone,GO:1904044,ENSG00000143799;ENSG00000051523;ENSG00000131469;ENSG00000165168;,2305
positive regulation of transcription regulatory region DNA binding,GO:2000679,ENSG00000143799;ENSG00000107485;ENSG00000121236;ENSG00000175104;ENSG00000017427;ENSG00000139687;ENSG00000152192;ENSG00000162992;ENSG00000189060;ENSG00000151615;ENSG00000164107;ENSG00000122691;ENSG00000136830;ENSG00000116288;,2306
