Process name,GO_id,Genes
response to starvation,GO:0042594,ADCYAP1;GPT;ADSL;CBL;ULK1;DDIT3;ULK2;UCN3;PCK1;FOXO3;PCK2;BNIP1;SSTR3;CPS1;GIP;TBC1D5;PPARGC1A;DHODH;SSTR1;PDK4;ACAT1;PPARG;SSTR2;UGT1A1;ZFP36;ADSS1;BCAS3;FOXK2;CAD;ADM;PFKFB1;HCRT;PAGE4;GCGR;GNPAT;HMGCL;FOXK1;ACADM;AACS;OXCT1;
negative regulation of potassium ion transport,GO:0043267,HTR2A;HCRT;ACTN2;ADCYAP1;ATF4;VIP;CASQ2;PTK2B;NOS1;
positive regulation of cAMP-mediated signaling,GO:0043950,GPR61;GIPR;GNAS;FFAR4;ADCYAP1;RAPGEF2;SCT;SCTR;GPR62;RXFP2;CGAS;OR51E2;CRH;OPRM1;ADCYAP1R1;UCN;GIP;INSL3;
positive regulation of synaptic transmission_ glutamatergic,GO:0051968,NLGN2;SHANK1;ADCYAP1;CACNG7;CACNG8;NPS;SHANK3;NRXN1;PTGS2;NLGN3;EGFR;DRD1;CACNG2;TSHZ3;CCR2;NLGN1;OXTR;RELN;ROR2;GLUL;SHANK2;PTK2B;CACNG5;TNR;CCL2;ADORA2A;CACNG4;CACNG3;NTRK1;
positive regulation of growth hormone secretion,GO:0060124,SERP1;ITSN1;ADCYAP1;KISS1;SELENOT;GHRL;GHRH;GHRHR;DRD2;ARHGEF7;
negative regulation of glial cell proliferation,GO:0060253,HES1;ADCYAP1;IDH2;ABCC8;TSPO;SOX11;NOTCH1;PTN;
regulation of oligodendrocyte progenitor proliferation,GO:0070445,PTPRZ1;CDH2;ADCYAP1;EMX1;
positive regulation of chemokine (C-C motif) ligand 5 production,GO:0071651,ADCYAP1;TICAM2;DDX3X;TRPV4;MAVS;MCOLN2;DEFB124;
brainstem development,GO:0003360,NLGN4X;ATIC;SMAD4;SCN5A;GART;CNTFR;PHOX2B;
ribonucleoside monophosphate biosynthetic process,GO:0009156,PRPS1;ADK;PRPS2;ADSL;GART;PFAS;PRPS1L1;
response to inorganic substance,GO:0010035,ALAD;MAP1B;PTEN;BAP1;ATIC;BGLAP;SLC6A1;EEF1A2;ADNP;SLC5A1;GART;RELA;AVPR1A;PGAM2;TNFRSF11B;
tetrahydrofolate biosynthetic process,GO:0046654,ATIC;GART;DHFR2;GCH1;DHFR;
Sertoli cell development,GO:0060009,FNDC3A;FSHR;SDC1;ATRX;HSD17B4;NTRK1;SOX9;DMRT1;SOX8;
regulation of chromatin organization,GO:1902275,ALKBH4;MLLT3;HNRNPU;METTL4;SSRP1;SETD1A;SETD5;MKI67;
regulated exocytosis,GO:0045055,RAB11B;ABCA12;STEAP2;SYNGR3;RAB11FIP5;RAB11FIP1;TMED10;VPS41;MYH9;CRHBP;CDK5;RAB26;TMEM79;SYNGR2;SYNGR1;RAB10;RAB11FIP2;RAB3A;DNAJC5;RIMS1;STX1A;RAB31;
phagosome maturation,GO:0090382,RAB34;PIKFYVE;MCOLN1;RAB7A;MREG;RAB43;RAB32;RAB14;RAB31;
positive regulation of phagocytosis_ engulfment,GO:0060100,GATA2;ANO6;ITGA2;F2RL1;PPARG;CD36;NCKAP1L;STAP1;TREM2;C3;APPL2;RAB31;
heterochromatin organization,GO:0070828,MECOM;SETD7;SETDB2;LOXL2;HP1BP3;PRDM16;SNAI1;SETDB1;
left/right axis specification,GO:0070986,NOTCH2;PKD1L1;CITED2;DLL1;PITX2;IFT172;MNS1;SMO;SETDB2;AHI1;HSPB11;EPB41L5;NOTCH1;ARL13B;
sterol transport,GO:0015918,SCP2;OSBPL3;OSBPL7;OSBP2;GRAMD1C;PLTP;ABCG5;OSBP;ABCG8;OSBPL6;OSBPL11;MTTP;GRAMD1B;STAR;OSBPL1A;OSBPL8;GRAMD1A;NPC2;OSBPL9;OSBPL10;
nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0070431,NOD2;IRGM;RELA;RIPK2;INAVA;OTULIN;LACC1;NFKBIA;
regulation of cellular pH,GO:0030641,MAFG;ATP1A4;SLC4A10;MAPK3;LACC1;ATP6AP1;MAPK1;
pattern recognition receptor signaling pathway,GO:0002221,NOD2;CLEC4E;INAVA;LACC1;NOD1;
myo-inositol transport,GO:0015798,SLC5A11;SLC2A13;SLC5A1;SLC5A3;
positive regulation of reactive oxygen species biosynthetic process,GO:1903428,TLR4;CLCN3;PARK7;TLR6;HDAC4;CD36;FOXO3;SLC5A3;MMP8;CYBA;ADGRB1;RAB27A;GRIN1;
positive regulation of protein localization to membrane,GO:1905477,PRKN;FYN;AP2B1;PDZK1;SLC5A3;NECAB2;
positive regulation of catalytic activity,GO:0043085,CIB1;PSEN2;AGT;IGF2;PSENEN;APH1B;SLC5A3;APH1A;FXN;BCL2;PSEN1;DAOA;SLC37A4;NPM2;CDC42;NCSTN;STX4;NR4A2;AZIN2;DCP1A;SOD1;WNT9B;FGFR4;B3GAT3;YWHAB;BCAS3;CAV1;MT3;XRCC5;DCP1B;ATP7A;PIK3CG;PHACTR4;
peripheral nervous system development,GO:0007422,;PMP22;CITED2;NGF;UGT8;SERPINI1;EDNRB;SLC5A3;ALDH3A2;ARTN;ADGRB2;EGR2;EGR3;NEUROG3;ERBB3;NF1;GFRA3;SCN8A;NRG1;BDNF;SOX10;ADGRB1;SOX8;GDNF;NHLH2;ERBB2;NTF3;NTF4;NFASC;ASIC2;
regulation of respiratory gaseous exchange,GO:0043576,PASK;NTSR1;GLRA1;APLN;PHOX2A;NR4A2;SLC5A3;
DNA replication-dependent nucleosome assembly,GO:0006335,H3C6;H3C10;H4C13;H4C12;H3C2;CHAF1B;H4C9;H3C7;H4C15;H4-16;CHAF1A;H4C11;H4C6;NASP;H3C8;IPO4;H4C4;ASF1A;H4C1;H4C14;H4C5;HAT1;RBBP4;H4C8;H3C3;H3C4;H4C2;ASF1B;H3C1;H4C3;H3C12;H3C11;
protein import into peroxisome membrane,GO:0045046,;ALDH3A2;PEX11B;ABCD1;PXMP2;PEX26;ABCD2;PEX16;PEX5;ATAD1;RAB8B;FIS1;PEX3;PEX14;PXMP4;PEX2;PEX19;PEX12;PEX13;GDAP1;SLC25A17;ABCD3;ACBD5;
negative regulation of synaptic transmission_ glutamatergic,GO:0051967,HTR2A;ADORA1;DRD2;NPY2R;PLA2G6;GRIK3;DRD3;HTR1B;ATAD1;GRIK2;
renal water homeostasis,GO:0003091,CYP11B2;ADCY5;TFAP2B;PRKACB;AVPR2;PRKACG;PRKAR2B;PRKACA;AQP4;PRKAR1A;ADCY3;CYP4A11;RAB11A;AQP1;AKAP11;AVP;CYP4F2;AQP3;AQP2;PRKAR2A;RAB11FIP2;ADCY9;WFS1;PRKAR1B;ADCY6;MYO5B;ATP6V1B1;GNAS;UMOD;ADCY8;ADCY1;ADCY4;AKR1B1;CYP4F12;ADCY7;ADCY2;
cellular protein localization,GO:0034613,OPTN;SEPTIN7;RRAGD;HEPACAM;LATS1;AJUBA;SCYL1;ESAM;GAS8;SEPTIN2;DVL2;RRAGB;PACRG;SEPTIN5;KCNA1;RRAGC;ANK2;LAMTOR3;SLC9A3R1;MYO7A;CTNNA1;PRKCI;SEPTIN1;LRRK2;SEPTIN8;AMOT;SEPTIN11;SCYL3;PRPF19;DUOXA2;SPTBN4;ARMCX3;FOXJ1;LAMTOR1;SEPTIN10;AP1AR;LAMTOR2;CDC42;ZDHHC18;SEPTIN6;AKAP11;SEPTIN3;SEPTIN12;EXOC8;TP53;RAP2A;AXIN2;WNT5A;DUOXA1;AHI1;CRACR2B;CTNNB1;RRAGA;LMNA;PRKCZ;MEIG1;MPP5;DISC1;GRID2;DMD;CPLANE2;ITSN1;SEPTIN9;GJA1;WNT3A;SEPTIN4;SEPTIN14;SIN3A;PADI6;CD63;CRB1;TMEM250;NIPBL;
protein localization to endosome,GO:0036010,TOLLIP;MICALL1;WASHC2A;WASHC2C;RAB35;VPS35;AKAP11;PACSIN2;TMEM30A;ARF6;
regulation of kinase activity,GO:0043549,EMP2;LDB2;LDB1;SLAMF8;NLRC5;MCPH1;AKAP11;
regulation of proteasomal protein catabolic process,GO:0061136,PSME1;APOE;PSME3;DNAAF4;PRKACA;PKD1;EPM2A;PITHD1;RHBDF1;PINK1;UCHL5;PSMD14;NUDT15;UBB;PSME2;BTRC;TMF1;GPX1;USP14;
regulation of chemotaxis,GO:0050920,P2RX4;CXCR4;EFNB2;ADGRA2;CYRIB;PDGFRA;P2RY12;USP14;
negative regulation of ER-associated ubiquitin-dependent protein catabolic process,GO:1903070,SVIP;SGTA;USP14;
inorganic anion transport,GO:0015698,SLC4A7;LRRC8A;LRRC8E;SLC4A11;SLC4A9;SLC4A1;LRRC8D;GPR89A;GPR89B;SLC4A10;CLDN4;SLC22A11;SLC1A4;CCT8L2;NMUR2;SLC4A4;SLC22A6;SLC12A1;CFTR;SLC22A8;SLC4A2;SLC12A4;SLC12A3;SLC4A5;SLC26A4;BEST3;SLC12A2;SLC4A3;LRRC8B;SLC39A14;VDAC2;VDAC3;SLC39A8;LRRC8C;VDAC1;
energy reserve metabolic process,GO:0006112,MC4R;PRLH;MTOR;MRAP2;GFPT2;LEPR;MYC;KL;GFPT1;LEP;ADGRF5;PID1;ADRB3;MT3;
calcium ion homeostasis,GO:0055074,CAMK2N1;S100A14;ASPH;TFAP2B;TRIM24;TMTC2;JPH2;TRPV6;TRPV5;CIB2;GRIN1;CALB1;KL;PTH;REG1A;CAV1;WFS1;ADM;ATP6V1B1;SELENON;CCDC47;UMOD;HRC;CYP27B1;SLC8A1;TNFSF11;SNX10;FAM20A;
positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway,GO:0090080,FGF23;KLB;FGF21;KL;
regulation of synaptic membrane adhesion,GO:0099179,MAPK14;PCDH8;MDGA1;LRFN3;
negative regulation of tyrosine phosphorylation of STAT protein,GO:0042532,PPP2CA;GGNBP2;INPP5F;SH2B3;SOCS3;SUZ12;PARP14;PIBF1;SOCS1;CAV1;PPP2R1A;NF2;PTPN2;
activation of Janus kinase activity,GO:0042976,JAK2;PRLR;GHR;PIBF1;PTK2B;IL4;
non-motile cilium assembly,GO:1905515,BBS7;;CEP350;IFT80;CEP89;BBS10;DYNC2H1;DCTN1;IFT52;CEP131;CCDC13;IFT88;IFT140;MKS1;CSNK1D;TOGARAM1;TMEM17;FUZ;PCDH15;TMEM80;TBC1D32;IFT57;INTU;VANGL2;IFT172;BBS1;TMEM107;PIBF1;CEP250;MAPRE1;IFT122;ARL13A;BBS4;PCM1;DISC1;EXOC5;C2CD3;RPGRIP1L;RPGRIP1;CEP126;GORAB;TTC8;IFT74;CC2D2A;BBS2;MKKS;TMEM216;ARL13B;
protein localization to centrosome,GO:0071539,CEP350;DCTN2;CEP83;CEP192;CEP131;MCPH1;CSNK1D;STIL;NEDD1;PIBF1;MAPRE1;BBS4;PCM1;C2CD3;KIAA0753;AURKA;SNX10;DISC1;CCDC14;HOOK3;SPAG5;
negative regulation of natural killer cell activation,GO:0032815,FGR;HAVCR2;RHBDD3;PIBF1;CLNK;MICA;
adenosine catabolic process,GO:0006154,XDH;ADAL;ADA2;ADA;
inosine biosynthetic process,GO:0046103,ADAL;ADA2;ADA;
positive regulation of establishment of protein localization to telomere,GO:1904851,CCT5;TCP1;CCT8;CCT2;CCT7;DKC1;CCT4;CCT3;WRAP53;CCT6A;
positive regulation of protein localization to Cajal body,GO:1904871,CCT5;MEPCE;TCP1;LARP7;CCT8;CCT2;CCT7;DKC1;CCT4;CCT3;CCT6A;
positive regulation of telomerase RNA localization to Cajal body,GO:1904874,CCT5;NAF1;TCP1;RUVBL1;NHP2;CCT8;CCT2;SHQ1;RUVBL2;NOP10;CCT7;DKC1;CCT4;CCT3;CCT6A;
Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0038096,LIMK1;ACTR2;WIPF2;BAIAP2;VAV3;FYN;ACTG1;PLA2G6;ELMO2;GRB2;MAPK1;NCKAP1;PRKCD;ACTR3;MYO10;NCK1;CD247;FGR;ARPC1B;WAS;MYO1G;PLD2;HCK;WIPF1;CDC42;DOCK1;PLPP4;MYO1C;PIK3CB;BRK1;PAK1;CYFIP2;ELMO1;ACTB;ARPC3;FCGR1A;VAV1;RAC1;YES1;ARPC4;WASL;ABL1;NCKAP1L;CD3G;LYN;HSP90AA1;PIK3R1;HSP90AB1;MAPK3;ARPC2;ARPC1A;NCKIPSD;PIK3CA;FCGR2B;FCGR2A;PRKCE;VAV2;PLCG2;WIPF3;MYH2;PIK3R2;SYK;ABI1;ARPC5;PTK2;FCGR3A;CRK;WASF2;SRC;PLCG1;CYFIP1;
regulation of glucose transmembrane transport,GO:0010827,EDNRA;FFAR4;EDN1;YES1;SLC2A1;TRIB3;PRKCB;OCLN;STXBP4;
cellular response to platelet-derived growth factor stimulus,GO:0036120,PDGFD;HAS1;FYN;CBL;MYC;MTSS2;PTN;RDX;SRC;HYAL1;HAS2;YES1;PDGFRB;ERRFI1;ATP7A;SYAP1;CREB1;CCNA2;CORO1B;MARS1;
regulation of translational initiation,GO:0006446,EIF2B2;MTIF2;DDX1;EIF4H;EIF5B;CTIF;CSDE1;EIF3H;ALKBH1;IMPACT;EIF5;PAIP1;GLE1;EIF4B;EIF2AK4;EIF1;EIF4G1;NCBP2;NCBP1;EIF4A2;KLHL25;EIF4G2;EIF1B;EIF3K;EIF2B1;EIF3B;HSPB1;EIF3E;MIF4GD;EIF4G3;
regulation of mitotic nuclear division,GO:0007088,PKMYT1;PDXP;KIF20B;OBSL1;CUL9;CDK13;FBXW5;CDC42;CAV2;CDC25C;RCC1;PRMT5;CCDC8;NEK2;BORA;L3MBTL1;FBXO43;FBXO5;CUL7;PIN1;DAPK3;MKI67;
regulation of mitotic spindle organization,GO:0060236,RAE1;FSD1;BORA;DCTN1;GPSM2;NUP62;PARP3;TACC3;ANKRD53;PKD1;CLTC;PSRC1;TPX2;MAP9;DYNC1H1;NUMA1;GNAI1;
T cell mediated cytotoxicity,GO:0001913,EMP2;CTSH;HLA-A;CTSC;GZMM;HPRT1;PRF1;MICA;
immune response to tumor cell,GO:0002418,PRF1;MICA;ADAM15;
spindle assembly,GO:0051225,;GOLGA2;HAUS3;TUBGCP4;HAUS6;NCOR1;TUBB1;KASH5;HAUS2;TUBB;RPS3;TUBGCP2;NEK7;NEK6;HAUS5;MAP9;TNKS;CSNK1D;HDAC3;INO80;TUBGCP5;TUBGCP6;KIF11;STARD9;MAPRE2;HAUS1;MAPRE1;HAUS4;RCC1;CEP63;MAPRE3;NEK2;GOLGA8B;HAUS8;FBXO5;HAUS7;TUBGCP3;
positive regulation of keratinocyte migration,GO:0051549,HBEGF;FGF7;MTOR;HAS2;MMP9;ADAM9;FGF10;MAPRE2;MAP4K4;IQSEC1;EPB41L4B;ARF6;
positive regulation of focal adhesion disassembly,GO:0120183,DUSP3;PIK3R1;MAPRE2;MAP4K4;IQSEC1;ARF6;
protein localization to microtubule plus-end,GO:1904825,MAPRE3;GAS2L2;MAPRE1;MAPRE2;GAS2L1;
adipose tissue development,GO:0060612,ARID5B;LEP;PGRMC2;SH3PXD2B;ATF2;FTO;AMER1;SELENOM;RORC;LRP5;XBP1;DYRK1B;PPARGC1A;UBB;PAXIP1;ACAT1;PIK3CA;SOX8;CDK4;AACS;PPARD;SPTLC2;SPART;UMODL1;SLC25A25;EBF2;OXCT1;ZNF516;
locomotory behavior,GO:0007626,;C1QL1;NEGR1;SHANK3;DBH;HTR2C;NOVA1;AVP;TH;FIG4;ALS2;PCDH15;FSHR;FEZF2;DRD3;ASTN1;MYO15A;KLHL1;PAK6;PITX3;RASD2;DSCAM;OPRK1;GPR52;APP;RELN;TAL1;SOD1;SNAP25;ZDHHC8;CALB1;PENK;NRG1;APBA2;B4GALT2;CELSR1;APBA1;VPS13A;GPR88;NKX2-1;ABCA2;CHRNB2;SLC6A3;ABAT;APH1B;NPY2R;MEIS1;HPGDS;BSX;GAA;STRN;MCOLN3;HEXB;LMX1A;SOBP;ALDH1A3;SLC1A1;DRD2;ADORA2A;PEX13;ADCY8;ATP7A;CHRNA3;SELENOP;PRKN;ADCY5;HPRT1;GIT1;GRM5;NAV2;UBA6;ELAVL4;GNAO1;GRM6;QRFP;SLURP1;DDHD2;ANKH;CDH23;PAK5;CHD7;PTEN;GRM1;SLC18A2;PPP1R1B;
adult walking behavior,GO:0007628,KLHL1;CEND1;AGTPBP1;HTRA2;CNTN2;UCHL1;FXN;HIPK2;DRD1;KCNJ10;SPTBN4;DAB1;CTNS;DMRT3;SCN1A;EPHA4;NPC1;GBX1;PCDH15;GLRA1;EFNB3;ZMPSTE24;GLRB;DRD2;CHD7;CLN8;OXR1;ARRB2;ABHD12;
cerebellar Purkinje cell layer development,GO:0021680,KLHL1;NAGLU;SEZ6L2;AGTPBP1;SEZ6;AARS1;UQCRQ;HSPA5;FAIM2;B4GALT2;
axonal fasciculation,GO:0007413,SEMA5A;CNR1;AMIGO1;EPHB2;NDN;NCAM2;SEMA3A;FEZF2;CASP3;EPHB3;NRP1;NRCAM;TNFRSF21;RTN4;ARHGAP35;CNTN2;CDK5R1;CNTN4;
cardiac myofibril assembly,GO:0055003,CSRP3;MYLK3;TTN;PDGFRB;OBSL1;ACTC1;PDGFRA;FHOD3;SRF;TCAP;MYL2;
actin filament network formation,GO:0051639,LCP1;CARMIL2;PLS3;PLS1;ARPC5;ACTN1;SPIRE1;FHOD3;CARMIL1;COBL;SPIRE2;FHOD1;
negative regulation of actin filament polymerization,GO:0030837,;SSH2;PFN2;TWF2;KANK1;TWF1;CYRIB;FHOD3;PFN1;KANK4;SSH1;PRKCD;MYADM;ARFGEF1;SSH3;SLIT2;KANK3;MKKS;HIP1R;
rRNA transcription,GO:0009303,CAVIN1;SIRT7;POLR1G;TP53;ANG;GTF3A;NIFK;POLR1B;NPM3;BRF1;GTF3C1;MARS1;SPIN1;
transcription by RNA polymerase III,GO:0006383,;POLR1C;GTF3C5;POLR3F;TBP;POLR3D;GTF3C4;GTF3C6;CRCP;ZNF345;GTF3C3;POLR3GL;IVNS1ABP;GTF3C1;GTF3C2;GTF3A;POLR3H;BRF1;RO60;POLR3K;SNAPC2;SNAPC3;POLR2K;POLR3G;
viral RNA genome replication,GO:0039694,PI4KA;PCBP1;PCBP2;EEA1;ROCK2;RAB29;CDC42;PIK3C2G;RAB5A;
multi-organism membrane organization,GO:0044803,FCHSD1;PI4KA;FCHSD2;
rRNA methylation,GO:0031167,MRM2;TRMT61B;TRMT112;ZCCHC4;BUD23;FTSJ3;FBL;TFB1M;RRNAD1;NSUN4;METTL5;FBLL1;NSUN3;BMT2;DIMT1;TFB2M;MTERF4;
box C/D snoRNA 3'-end processing,GO:0000494,FBL;LARP7;FBLL1;
histone glutamine methylation,GO:1990258,CREBBP;SIRT7;FBL;FBLL1;
rescue of stalled ribosome,GO:0072344,RACK1;C12orf65;MTRES1;LTN1;ZNF598;NEMF;
endothelial cell morphogenesis,GO:0001886,PLOD3;CNMD;COL18A1;HEG1;NOTCH4;ARHGEF26;COL22A1;HOXA13;CLIC4;MET;TNMD;STC1;COL15A1;
proteoglycan metabolic process,GO:0006029,PPARD;CNMD;COL2A1;BMP2;COL11A1;B4GALT7;HPSE;IHH;
negative regulation of vascular endothelial growth factor receptor signaling pathway,GO:0030948,DAB2IP;CADM4;HHEX;CNMD;NIBAN2;HGS;NF1;EMILIN1;NEDD4;TNMD;MMRN2;PDCD6;EPN2;PTPN1;
fucose metabolic process,GO:0006004,POFUT2;B3GLCT;FUCA1;FUOM;POFUT1;FUCA2;FPGT;
protein O-linked fucosylation,GO:0036066,SLC35C1;POFUT2;SLC35C2;B3GLCT;POFUT1;
positive regulation of proteasomal protein catabolic process,GO:1901800,PRKN;FMR1;FBXW7;PSMC3;TMTC3;BAG2;OSBPL7;DAB2IP;PSMC4;PSMC2;DDRGK1;PSMC5;PSMC6;RNF40;NUPR1;KCNE2;ECSCR;PSMC1;TREM2;
positive regulation of RNA polymerase II transcription preinitiation complex assembly,GO:0045899,WNT10B;PSMC4;TP53;PSMC2;CAND1;ESR1;PSMC3;PSMC5;CREB1;PSMC6;
mRNA polyadenylation,GO:0006378,SYMPK;PABPC1;TENT4B;PAPOLB;CSTF2;SCAF8;PABPC1L;PAPOLA;SSU72P2;CSTF3;TUT1;SSU72P4;NUDT21;CLP1;CPSF3;CPSF1;GRSF1;APP;SSU72P7;CPSF2;SSU72P8;FIP1L1;PAF1;LEO1;CDC73;AHCYL1;WDR33;PCF11;TENT2;MTPAP;PAPOLG;SSU72;SSU72P3;SSU72P5;
cellular copper ion homeostasis,GO:0006878,PRNP;MT2A;SCO2;PRND;ATP7A;ATP7B;SCO1;ARF1;SLC31A1;ABCB6;ANKRD9;ATOX1;SLC31A2;CCDC22;APP;COX19;
suckling behavior,GO:0001967,DACH1;HELT;PEX13;OXTR;UBE2Q1;CNTFR;HAND2;POU4F1;GLS;DERL2;UBR3;APP;
regulation of epidermal growth factor-activated receptor activity,GO:0007176,PSEN1;NCK2;SHC1;APP;
axonogenesis,GO:0007409,ATP8A2;SLITRK2;NKX2-8;CNTN4;LLGL1;KLF7;SLITRK6;PTPRZ1;NTNG2;TRIM46;DSCAML1;RNF165;APBB1;ALS2;ZDHHC17;WNT5A;RAB3A;BRSK2;STK11;DOCK7;SLIT1;BCL11B;S100A6;ISL2;PAX2;BAIAP2;UCHL1;PTPN11;MAP1S;DVL1;SPTBN4;DRGX;SLITRK5;STMN1;APP;POU4F2;CTNNA2;SHTN1;SPAST;WNT3A;VAX2;ATL1;SEMA4A;TOP2B;CREB1;AFG3L2;PARD3;PARD6B;MAP1B;AMIGO1;DCLK1;ULK1;RAB8A;DLX5;CCK;NUMBL;NEFH;CDK5;NDN;ACTB;ISL1;DRD2;MAP1A;TNN;ADGRB1;WNT7A;PAK3;SLITRK4;SLITRK1;NRCAM;SLITRK3;DCC;FLOT1;TAOK2;ANK3;S100B;ULK2;BCL2;PLPPR4;BRSK1;NTN1;ACTBL2;FGFR2;PICALM;RYK;NTNG1;RAB10;POU4F1;NUMB;CNP;RTN4R;PAX6;LMTK2;ADCY1;CCKAR;NOTCH1;
mating behavior,GO:0007617,NHLH2;DRD5;DRD1;UBE2Q1;TH;MTNR1A;MAPK8IP2;APP;
axo-dendritic transport,GO:0008088,APBA1;KLC3;SPG11;APP;
visual learning,GO:0008542,IFT20;KRAS;TAFA2;TANC1;NDRG4;NPS;SLC7A11;DBH;CCK;ITGB1;CDK5;DRD1;NPTN;NF1;CTNS;LRRN4;HRH1;GRIN1;APP;HMGCR;TTC36;ATP1A2;DRD2;BRAF;DDHD2;DRD3;GRIN2A;SYNGAP1;RIC8A;B4GALT2;FOXB1;MTOR;HIF1A;ABCC8;ABCA7;KIT;NETO1;MECP2;RAG1;RGS14;CREB1;MEIS2;CHRNB2;PPP1R1B;PIAS1;
positive regulation of peptidase activity,GO:0010952,RCN3;FN1;CTSH;CLPX;PINK1;FBLN1;NDUFA13;PSME4;PCOLCE;PCOLCE2;CAV1;PRSS22;MAPK12;APP;
positive regulation of G2/M transition of mitotic cell cycle,GO:0010971,WNT10B;VPS4B;SMARCD3;CCND1;RAD51B;RAB11A;BRD4;CDC25A;PBX1;STOX1;PHOX2B;CDK1;APP;DBF4B;RAD51C;CDC7;CDC25C;RCC2;HSPA2;CCNB1;CDK4;FBXO5;MTA3;MECP2;SIN3A;CDC25B;DTL;
axon midline choice point recognition,GO:0016199,ROBO3;ROBO2;ROBO1;APP;FOXG1;
forebrain development,GO:0030900,DNAJB1;FYN;TYROBP;SSTR4;HESX1;HTRA2;DCLK1;ITGAM;APLP1;SOX2;OTX2;NEUROG3;NUMBL;KDM2B;LRP2;PRKG1;PSEN1;MSX1;CDK5;DYNC2H1;TTC21B;NDE1;GSC;SOX1;ALDH1A2;ARHGAP35;POU3F1;SSTR3;GNAO1;FEZF1;APP;RELN;MYO1D;NFIB;SSTR1;PPARGC1A;DRAXIN;STIL;TWSG1;SHH;FEZF2;FOXP2;SETD2;SSTR2;DRD2;SRF;CTNNB1;PCDH9;NUMB;DLC1;CNP;FRS2;BMP4;FOXG1;PAX6;NDST1;VAX2;ARX;OTX1;GLI3;TOP2B;E2F1;ATRX;NR2F2;NKX2-1;CCKAR;EMX2;SRC;NOTCH1;
ionotropic glutamate receptor signaling pathway,GO:0035235,GRIN3A;GRIA3;GRIA2;GRIN2D;GRIN3B;GRID1;GRIA1;CDK5R1;GRIK2;GRIK4;GRIA4;GRIN2B;GRIK3;GRIN1;APP;CPEB4;GRIN2A;PTK2B;GRIN2C;CLN3;GRID2;GRIK5;GRIK1;
regulation of multicellular organism growth,GO:0040014,GAMT;GHR;HTRA2;PRLH;FTO;SGPL1;STAT5B;TNKS2;IGF1;NPPC;MFSD2A;PRL;APP;SOD1;ZMPSTE24;SOCS2;STAT3;GPAT4;STAT5A;PIK3CA;CDK4;ATRN;MBD5;GDF5;AFG3L2;
regulation of protein binding,GO:0043393,PCBD1;PLK1;PRKACA;DZIP1;SMARCD3;TGFBR1;BTBD1;PSEN1;CBLB;CDON;ANGPT1;UBASH3B;LRRC6;CDC42;SRC;CAMK1;APP;HOPX;HDAC4;HDAC5;PRMT7;TGFBR3;SNAPIN;CRK;PRMT8;LDLRAP1;
positive regulation of mitotic cell cycle,GO:0045931,POLDIP2;RPS6KB1;LGMN;PTPN11;SPHK1;PAFAH1B1;TTL;USP22;FGF10;STAT5B;HSF1;CDK1;APP;DYNLT3;USP2;TAL1;CCDC57;ABL1;EIF4EBP1;DUSP3;PKN2;CCNB1;ASNS;EIF4E;MDM2;BRCA2;NKX3-1;PRKCA;SMOC2;FOXA1;MEIS2;CDC25B;
regulation of synapse structure or activity,GO:0050803,MX2;SLC17A7;SLC17A8;DNM3;PPT1;SYNGAP1;DNM1;DNM2;SLC17A6;MX1;APP;
neuromuscular process controlling balance,GO:0050885,NLGN2;RBFOX2;ADCY5;SHANK1;IGDCC3;CLRN1;DCANP1;TPP1;SHANK3;NRXN1;PAFAH1B1;NBN;GAA;GM2A;HMX3;TIFAB;GIGYF2;APP;HEXB;POU4F2;DLG4;HERC1;ALDH1A3;FOXS1;ABL1;NEFL;CNTNAP1;GRIN2C;CLN3;JPH3;BLOC1S4;TNR;POU4F3;RBFOX1;CLN8;NKX6-2;PTPRQ;SLC1A3;AARS1;JPH4;GPR88;RAC3;NEUROG1;
synaptic growth at neuromuscular junction,GO:0051124,LRP4;SHANK1;APP;SHANK2;
positive regulation of protein metabolic process,GO:0051247,KLF2;CHRNA7;MAPK7;MTPN;KLF4;WFS1;MAPK8;MAP2K5;GBA;APP;
neuron apoptotic process,GO:0051402,FAM162A;BNIP3;CASP3;ATN1;MAX;USP53;CASP7;POLB;HSPA5;GBA;GRIK2;BCL2;NLRP1;CDK5;PSEN1;ATM;ERBB3;DIABLO;CIT;NCSTN;BAX;TRPC5;APP;LIG4;TP63;BID;TP53;RB1;BCL2L1;GAPDH;SCN2A;NGFR;AIFM1;PIGT;SIAH1;POU4F3;BOK;XIAP;TNFRSF21;OXR1;NAE1;
cellular response to manganese ion,GO:0071287,PRKN;A3GALT2;BACE1;ATP13A2;SLFN14;HSPA5;TH;LRRK2;APP;
